,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
VINO,0.24,-,-,-,0.31,-10.84,-,-157.60%,-160.70%,77.10%,8.90%,-,-22.20M,-93.73%,-44.36%,-,-,1.70M
THCPU,,,,,,,,,,,,,,,,,,
CECO,2.09,27.73,13.32,1.85,0.67,0.47,-,7.90%,5.10%,-29.10%,1.30%,0.99,16.60M,109.38%,12.76%,3.70%,0.00%,442.80M
OPOF,0.77,7.82,-,-,0.29,2.02,3.54%,10.30%,32.20%,57.50%,2.00%,-,10.20M,-37.90%,-41.37%,19.30%,26.20%,52.70M
CVRX,2.65,-,-,-,0.00,-2.08,-,-37.70%,-35.70%,-12.50%,10.33%,-2.29,-42.80M,111.24%,-30.35%,-,-,26.40M
ADIL,5.36,-,-,-,0.00,-0.50,-,-281.50%,-,12.60%,4.10%,-0.34,-12.70M,-80.71%,24.70%,-,-,-
RMNI,-,-,8.62,-,-,0.00,-,-0.10%,-128.90%,81.50%,2.00%,0.52,0.10M,-31.60%,17.59%,0.00%,0.00%,417.30M
RYTM,4.46,-,-,-,0.35,-3.36,-,-75.20%,-52.70%,12.20%,0.10%,-2.55,-180.50M,411.54%,-40.62%,-,-,33.60M
SKIN,8.21,-,16.32,-,4.98,-0.09,-,-4.50%,-2.80%,-181.70%,0.10%,0.56,-10.40M,-33.60%,0.99%,-2.80%,0.00%,376.70M
TITN,1.24,6.03,6.43,0.24,0.67,4.92,-,20.30%,11.70%,-19.70%,10.51%,4.60,110.20M,6.97%,-25.45%,4.30%,0.00%,2.32B
FTDR,31.55,28.96,19.14,2.18,7.29,1.11,-,184.80%,10.70%,1000.00%,0.37%,1.68,91.00M,34.14%,54.71%,5.40%,0.00%,1.68B
LINC,1.50,19.26,16.05,1.28,0.00,0.35,-,-,8.60%,-202.50%,7.92%,0.42,9.10M,7.32%,16.41%,-,0.00%,353.00M
GLAD,1.07,20.44,9.34,4.09,-,0.48,9.79%,-,-,44.40%,3.40%,1.05,-,-13.64%,1.98%,-,137.20%,69.58M
CHB,-,-,-,-,-,-,0.50%,-,-,-,-,-,-,-19.55%,-16.16%,-,-,-
WEN,11.27,26.56,19.65,2.27,8.11,0.84,4.50%,41.20%,7.30%,8.00%,7.40%,1.13,179.80M,18.15%,-1.90%,8.40%,74.10%,2.14B
UPST,3.73,-,43.91,-,1.60,-3.30,-,-39.00%,-6.80%,-560.70%,1.70%,0.65,-270.60M,-38.09%,115.89%,-38.10%,-,710.40M
MAQC,,,,,,,,,,,,,,,,,,
PROK,-,-,-,-,-,-0.82,-,5.30%,-,85.70%,0.10%,-1.35,-50.20M,15.10%,65.45%,-,-,-
CVGI,2.41,-,8.75,-,1.24,-0.56,-,-13.20%,-0.20%,115.20%,0.10%,1.12,-16.00M,41.82%,43.91%,-1.70%,-,999.90M
MITK,2.63,70.68,11.49,4.71,0.72,0.15,-,4.30%,4.00%,-72.90%,2.20%,0.91,6.80M,12.23%,7.95%,5.80%,0.00%,139.80M
FVCB,0.92,10.38,8.59,-,0.10,1.03,-,9.50%,25.50%,-90.60%,8.30%,1.24,19.00M,-34.87%,-30.19%,21.40%,0.00%,88.80M
BSMP,-,-,-,-,-,-,1.80%,-,-,-,-,-,-,-1.56%,0.00%,-,-,-
ICLR,2.14,36.59,15.57,2.68,0.52,6.18,-,6.10%,5.60%,4.20%,4.00%,14.54,510.00M,-0.64%,16.48%,6.50%,0.00%,7.82B
LESL,-,17.19,12.57,1.77,-,0.64,-,-50.80%,32.20%,-321.30%,1.50%,0.88,119.10M,-43.91%,-9.50%,7.70%,0.00%,1.56B
SWKH,,,,,,,,,,,,,,,,,,
KBWD,-,-,-,-,-,-,11.36%,-,-,-,-,-,-,-16.13%,2.49%,-,-,-
MYRG,4.02,27.41,20.35,3.43,0.05,5.10,-,15.60%,13.90%,14.00%,0.60%,6.87,85.90M,46.92%,51.85%,2.70%,0.00%,3.18B
FENC,-,-,32.45,-,-,-0.99,-,-,-100.80%,-60.40%,0.80%,0.27,-26.10M,52.22%,-10.42%,-,-,3.20M
QTRX,2.35,-,-,-,0.00,-2.29,-,-22.70%,-28.40%,66.80%,8.20%,-1.39,-84.70M,35.03%,62.53%,-81.10%,-,104.40M
AKTS,2.35,-,-,-,0.44,-1.04,-,-67.10%,-39.90%,14.30%,3.90%,-0.42,-62.00M,-22.77%,22.70%,-,-,24.00M
GBDC,0.91,21.21,8.40,2.12,1.24,0.63,9.88%,4.20%,3.40%,-12.50%,4.23%,1.59,107.60M,-3.40%,1.52%,21.60%,200.10%,499.10M
XFIN,,,,,,,,,,,,,,,,,,
ALXO,1.40,-,-,-,0.04,-3.17,-,-46.70%,-,-22.30%,2.20%,-3.67,-129.10M,14.97%,-27.06%,-,-,-
SKOR,-,-,-,-,-,-,3.03%,-,-,-,-,-,-,-2.71%,0.71%,-,-,-
TRMR,0.92,-,7.78,-,-,-0.08,-,-,-,-,0.50%,0.90,-,-43.09%,8.53%,-,-,-
HMPT,0.68,-,53.95,-,2.96,-2.23,6.90%,-50.50%,-1.90%,-,1.33%,0.04,-309.10M,-45.54%,69.34%,-85.00%,-,363.70M
ARBB,0.10,5.08,-,-,0.00,0.61,-,-,24.90%,158.60%,95.24%,-,15.90M,-,-20.00%,16.60%,0.00%,96.10M
MDCP,,,,,,,,,,,,,,,,,,
PROV,0.68,9.71,8.77,-,0.00,1.27,4.53%,7.20%,23.50%,41.80%,8.20%,1.41,9.20M,-16.66%,-10.24%,21.90%,43.70%,42.30M
FMNB,1.33,8.76,8.60,0.49,0.24,1.50,5.16%,16.50%,29.10%,-60.10%,1.00%,1.53,51.80M,-15.62%,-6.66%,32.40%,43.70%,160.00M
OPT,3.29,-,-,-,1.56,-2.57,-,-,-,-81.80%,-,-,-132.20M,-34.36%,-40.49%,-,-,1.20M
RDI,1.04,-,-,-,3.40,-1.64,-,-47.40%,-10.60%,-,0.80%,-0.01,-36.20M,-18.96%,6.50%,-17.80%,-,203.10M
PMGM,,,,,,,,,,,,,,,,,,
TAYD,1.38,11.46,-,-,0.00,1.64,-,12.70%,5.00%,-,0.70%,-,5.70M,101.83%,32.28%,14.70%,0.00%,39.10M
CVT,2.59,-,33.65,-,0.09,-0.21,-,-6.40%,-5.00%,-2.30%,0.10%,0.25,-101.50M,84.75%,57.04%,-15.40%,-,659.40M
LITM,1.49,-,-,-,0.00,-0.44,-,-,-,-,53.41%,-,-7.00M,-23.60%,7.89%,-,-,-
ATXS,2.81,-,-,-,0.00,-2.85,-,-73.30%,-,66.00%,0.95%,-2.18,-47.70M,302.76%,-21.56%,-,-,-
CENTA,1.44,17.11,13.70,2.90,-,2.13,-,-,-,-31.00%,3.93%,2.66,-,-13.93%,1.82%,-,0.00%,3.26B
CVGW,2.65,-,20.59,-,0.11,-0.30,1.24%,-2.40%,1.20%,24.20%,1.90%,1.57,-5.30M,-17.34%,9.76%,-0.50%,-,1.14B
SNAX,1.30,-,-,-,0.35,-1.03,-,-157.70%,-131.50%,75.70%,17.70%,-0.35,-30.50M,-47.62%,-5.11%,-,-,27.20M
BTWNU,-,13.66,-,-,-,0.75,-,-,-,-,-,-,-,1.95%,3.38%,-,0.00%,-
HIBB,1.31,4.06,4.68,0.51,0.10,9.45,2.60%,32.00%,31.20%,132.40%,0.10%,8.21,124.60M,-23.95%,-43.73%,6.20%,9.20%,1.74B
AVNW,1.72,30.49,8.82,2.54,0.03,1.06,-,6.20%,9.60%,-19.70%,3.90%,3.68,12.70M,12.16%,4.10%,3.80%,0.00%,332.80M
DLO,7.72,27.85,13.98,1.02,0.01,0.38,-,31.00%,28.80%,35.50%,11.13%,0.75,117.80M,-63.03%,-32.56%,25.10%,0.00%,468.80M
GATE,-,-,-,-,-,-0.17,-,-0.80%,-,-,-,-,-1.10M,-,1.60%,-,0.00%,-
XERS,13.18,-,-,-,6.25,-0.57,-,-152.30%,-35.20%,50.80%,2.71%,-0.28,-77.80M,39.42%,118.05%,-64.10%,-,121.40M
PATK,1.73,7.63,9.19,1.39,1.38,10.18,2.32%,26.10%,17.40%,-70.40%,0.80%,8.45,245.70M,26.71%,28.14%,5.50%,14.00%,4.44B
BREA,-,-,-,-,-,-0.12,-,-,-39.20%,-,2.54%,-,-,-,-58.09%,-,-,0.16M
GLST,,,,,,,,,,,,,,,,,,
BACK,4.13,-,-,-,0.10,-0.63,-,-240.90%,-373.10%,6.60%,1.80%,-0.11,-18.80M,-87.73%,-37.89%,-,-,14.40M
BSJP,-,-,-,-,-,-,5.89%,-,-,-,-,-,-,-2.86%,1.40%,-,-,-
AOSL,0.92,31.07,20.72,1.83,0.08,0.95,-,3.20%,49.80%,-161.30%,1.00%,1.42,28.60M,-31.31%,2.98%,3.90%,0.00%,723.80M
FPA,,,,,,,,,,,,,,,,,,
IEUS,-,-,-,-,-,-,2.84%,-,-,-,-,-,-,-8.58%,5.75%,-,-,-
CLNE,1.47,-,-,-,0.21,-0.33,-,-10.20%,-6.20%,-59.90%,0.60%,-0.08,-73.20M,-19.19%,-11.73%,-15.60%,-,468.90M
HTLF,0.81,6.52,6.73,0.65,0.22,5.01,3.68%,13.10%,26.40%,23.00%,0.80%,4.85,213.80M,-26.91%,-29.97%,28.50%,22.30%,750.40M
DECAU,,,,,,,,,,,,,,,,,,
FOXF,3.49,20.47,15.72,1.36,0.00,4.69,-,18.30%,16.50%,-13.30%,0.30%,6.11,199.00M,12.99%,5.26%,12.30%,0.00%,1.62B
NWSA,1.38,42.42,24.11,-,0.37,0.46,1.03%,3.30%,6.70%,-37.50%,0.10%,0.81,267.00M,11.80%,6.76%,2.60%,43.50%,10.12B
LECO,9.68,23.65,19.74,2.61,1.03,8.00,1.35%,46.80%,22.20%,-1.80%,0.20%,9.58,468.10M,35.80%,30.90%,12.10%,28.60%,3.88B
FORA,4.14,-,-,-,0.00,-0.51,-,-47.10%,-69.60%,81.30%,45.18%,-0.16,-16.40M,-26.69%,-4.40%,-28.80%,-,26.50M
ROCAU,,,,,,,,,,,,,,,,,,
BHACU,,,,,,,,,,,,,,,,,,
UAL,2.42,8.62,4.56,0.15,4.63,5.73,-,34.20%,5.40%,86.00%,0.30%,10.84,1.92B,10.34%,31.01%,3.90%,0.00%,48.82B
AGZD,-,-,-,-,-,-,3.25%,-,-,-,-,-,-,0.61%,0.84%,-,-,-
IPW,1.03,-,82.74,-,0.41,-0.35,-,-37.80%,3.60%,-222.20%,0.20%,0.01,-10.40M,-29.88%,106.85%,-11.80%,0.00%,87.60M
FNKO,1.88,-,13.57,-,0.98,-1.60,-,-19.70%,1.00%,-603.80%,0.70%,0.93,-73.20M,-41.08%,15.67%,-5.80%,-,1.27B
BRLT,4.02,284.29,14.74,-,5.54,0.01,-,16.90%,31.00%,-222.20%,1.90%,0.27,1.70M,-20.40%,-7.66%,0.40%,0.00%,437.50M
PFX,0.54,-,9.80,-,-,-0.71,-,-,-,125.70%,17.06%,3.47,-,-14.29%,9.50%,-,-,18.37M
TENX,0.23,-,-,-,0.03,-3.73,-,-146.90%,-,-40.10%,9.10%,-0.30,-9.70M,-97.39%,-84.30%,-,-,-
DLTH,0.93,101.87,39.04,4.07,0.29,0.06,-,5.40%,1.90%,-58.10%,1.20%,0.17,2.30M,-41.79%,5.50%,1.90%,0.00%,653.30M
VRDN,4.93,-,-,-,0.02,-4.66,-,-89.10%,-52.10%,-64.10%,1.91%,-4.86,-172.30M,115.97%,-13.87%,-,-,1.70M
BCSA,8.39,117.46,-,-,0.03,0.09,-,2.00%,-,-130.80%,26.90%,-,4.60M,6.89%,3.23%,-,0.00%,-
RNLX,8.88,-,-,-,1.35,-1.14,-,-192.60%,-123.70%,34.20%,9.10%,-0.57,-42.20M,-46.35%,13.90%,-,-,3.80M
BREZ,10.00,-,-,-,0.00,-0.08,-,3.20%,-,-178.10%,83.22%,-,0.60M,4.39%,2.59%,-,0.00%,-
FRG,3.68,-,9.42,-,6.80,-5.38,8.56%,-39.30%,10.20%,-,25.60%,3.10,-197.70M,-21.08%,22.59%,-4.50%,-,4.37B
SGMA,0.32,-,-,-,1.58,-3.34,-,-24.00%,7.00%,-559.90%,2.10%,-,-20.20M,-52.89%,-6.51%,-5.00%,-,406.70M
CRSP,2.66,-,-,-,0.00,-6.72,-,-27.00%,-35.90%,71.00%,0.50%,-6.59,-524.00M,-2.24%,54.44%,-,-,100.30M
AEYE,7.22,-,-,-,0.21,-0.77,-,-79.30%,-82.80%,45.30%,8.50%,-0.38,-8.80M,19.39%,52.74%,-28.70%,-,30.80M
BIGT,,,,,,,,,,,,,,,,,,
ENZL,-,-,-,-,-,-,1.67%,-,-,-,-,-,-,-2.82%,-2.68%,-,-,-
AAPD,-,-,-,-,-,-,3.31%,-,-,-,-,-,-,-,-27.03%,-,-,-
FRZA,2.73,-,-,-,0.01,-0.54,-,-49.40%,-,-273.10%,0.20%,-,-5.10M,-,145.31%,-,-,-
RUN,0.64,321.83,-,-,1.39,0.06,-,0.30%,-4.40%,-166.40%,1.70%,-0.48,20.80M,-31.94%,-19.61%,0.90%,0.00%,2.42B
GIA,,,,,,,,,,,,,,,,,,
AMSWA,3.38,39.85,31.79,2.49,0.00,0.34,3.26%,8.30%,9.10%,21.90%,0.90%,0.42,11.10M,-23.80%,-7.97%,8.70%,133.10%,128.40M
ITAQ,,,,,,,,,,,,,,,,,,
CONN,0.23,-,-,-,1.27,-2.49,-,-1.70%,-2.00%,-799.90%,5.30%,-1.78,-59.30M,-54.67%,-28.78%,-0.70%,-,1.34B
YNDX,,,,,,,,,,,,,,,,,,
AGNCL,2.10,-,-,-,-,-,8.88%,-,-,-,-,-,-,-,-0.32%,-,-,-615.00M
OMER,8.10,-,-,-,8.05,-2.90,-,303.40%,-,-0.30%,4.02%,-1.95,-182.20M,221.92%,211.95%,-,0.00%,-
SATS,0.41,12.62,46.51,2.52,0.42,1.38,-,3.30%,2.50%,-67.30%,6.20%,0.37,114.70M,-26.95%,4.02%,5.90%,0.00%,1.94B
KELYA,0.57,-,9.68,-,0.00,-0.10,1.57%,-0.30%,1.80%,123.60%,0.50%,1.97,-4.00M,-5.03%,12.78%,-0.10%,-,4.94B
CFFS,,,,,,,,,,,,,,,,,,
VTVT,-,-,-,-,-,-0.21,-,121.10%,216.60%,47.30%,0.10%,-0.33,-16.70M,26.46%,23.06%,-,-,0.02M
HTZ,1.96,3.62,7.56,-,5.59,4.68,-,67.10%,13.90%,-34.30%,0.20%,2.24,1.83B,-10.55%,10.20%,20.50%,0.00%,8.92B
CHCI,1.21,4.17,-,0.42,0.00,0.89,-,30.70%,27.10%,-66.60%,68.54%,-,8.50M,-23.46%,-12.47%,20.60%,0.00%,40.90M
KINS,0.43,-,-,-,0.76,-1.72,11.94%,-47.30%,-33.40%,45.70%,0.20%,-0.05,-18.40M,-69.96%,-0.74%,-13.30%,-,138.20M
NVCT,21.18,-,-,-,0.00,-1.43,-,-138.40%,-,14.40%,29.10%,-1.26,-20.20M,35.02%,134.40%,-,-,-
CPRT,7.35,36.06,31.10,1.62,0.00,2.39,-,22.80%,23.90%,25.20%,9.50%,2.77,1.15B,50.04%,41.60%,30.70%,0.00%,3.76B
EH,35.67,-,-,-,1.00,-0.81,-,-159.30%,-122.50%,-7.90%,0.90%,-0.54,-46.30M,14.32%,24.71%,-,-,6.20M
STX,-,-,24.27,-,-,-0.85,4.72%,37.50%,33.40%,-234.20%,0.40%,2.44,-161.00M,-28.16%,12.72%,-1.90%,36.63%,8.41B
PAYX,11.87,26.99,24.61,3.25,0.24,4.15,3.18%,46.90%,36.20%,8.80%,10.70%,4.55,1.50B,-11.13%,-3.16%,30.50%,75.80%,4.92B
ATMC,941.82,-,-,-,-,-0.00,-,-,-,-,21.41%,-,0.00M,-,2.78%,-,-,-
EGAN,3.96,-,24.65,-,0.00,-0.06,-,-3.40%,-5.90%,40.40%,31.22%,0.31,-2.00M,-16.50%,-15.39%,-2.10%,-,96.90M
PIK,0.65,-,-,-,0.30,-1.01,-,-80.70%,-73.10%,-6.70%,25.10%,-0.72,-7.80M,-67.45%,-13.70%,-47.90%,-,16.20M
HALL,0.12,-,-,-,1.75,-74.21,-,-106.10%,-77.90%,-406.00%,8.12%,0.00,-134.90M,-86.20%,-31.35%,-65.00%,-,159.90M
APPF,22.98,-,226.16,-,0.00,-2.53,-,-34.10%,-27.80%,-141.50%,1.10%,0.69,-88.90M,57.10%,48.08%,-17.70%,-,502.70M
UNCY,-,-,-,-,-,-1.93,-,-,3610.40%,-311.30%,0.60%,-0.57,-29.30M,60.64%,179.63%,-,-,1.60M
ULVM,-,-,-,-,-,-,1.96%,-,-,-,-,-,-,-4.95%,-1.31%,-,-,-
DCGO,3.44,50.59,25.30,1.63,0.04,0.18,-,7.70%,10.00%,-136.80%,0.80%,0.37,20.50M,13.18%,32.39%,4.70%,0.00%,435.60M
INSE,-,21.99,12.26,2.20,-,0.71,-,-37.50%,21.00%,-114.90%,7.59%,1.28,20.60M,35.70%,23.60%,7.10%,0.00%,290.80M
BKYI,0.84,-,-,-,0.28,-1.25,-,-60.50%,-,-138.70%,3.00%,-0.46,-10.20M,-60.22%,23.06%,-,-,7.00M
VERO,-,-,-,-,-,-9.51,-,-454.30%,-41.50%,8.40%,4.50%,-2.60,-44.70M,-79.03%,-53.13%,-47.80%,-,93.60M
NEWTL,,,,,,,,,,,,,,,,,,
MCAF,1.72,318.48,-,-,0.04,0.03,-,0.30%,-,240.20%,32.15%,-,0.10M,7.24%,4.06%,-,0.00%,-
CVKD,4.05,-,-,-,0.00,-1.32,-,-,-,-,69.49%,-,-11.70M,-,-62.62%,-,-,-
EFOI,2.33,-,-,-,0.57,-0.96,-,-430.10%,-210.70%,81.20%,1.10%,-,-8.80M,-73.07%,33.37%,-,-,4.80M
GNFT,2.22,-,-,-,-,-0.51,-,-,-16.00%,-,-,-,-25.50M,16.53%,-3.62%,-,-,28.60M
VCEL,8.45,-,523.48,-,0.00,-0.36,-,-9.30%,-9.20%,-4.80%,0.78%,0.07,-17.10M,30.62%,31.17%,-10.10%,-,169.30M
CETU,,,,,,,,,,,,,,,,,,
CMTL,0.73,-,12.86,-,0.38,-1.02,3.45%,-6.10%,-5.00%,73.60%,2.30%,0.90,-27.90M,-12.45%,-4.45%,-5.40%,-,514.00M
NTRSO,,,,,,,,,,,,,,,,,,
TENK,268.21,95.09,-,-,-,0.11,-,-,-,-,26.66%,-,-,-,2.95%,-,-,-
TH,6.05,12.82,13.08,0.85,0.87,1.13,-,65.80%,26.70%,8771.50%,0.20%,1.11,117.30M,111.97%,-4.10%,20.60%,0.00%,569.50M
ADTX,60.88,-,-,-,14.00,-14.96,-,-570.60%,-455.00%,80.70%,0.96%,-12.32,-27.60M,-95.78%,-47.27%,-,-,0.90M
SNCRL,,,,,,,,,,,,,,,,,,
MDIV,-,-,-,-,-,-,6.93%,-,-,-,-,-,-,-11.84%,-1.83%,-,-,-
FMIVU,,,,,,,,,,,,,,,,,,
AIH,0.68,-,2.35,-,-,-0.37,-,-,-1.10%,-,-,0.41,-10.70M,-29.74%,-25.39%,-,-,94.50M
EXTR,28.34,52.11,15.18,2.61,2.27,0.43,-,59.70%,14.30%,73.10%,1.30%,1.49,58.10M,126.02%,23.81%,4.70%,0.00%,1.23B
OXBR,0.61,-,-,-,0.01,-0.22,-,-8.30%,-9.50%,136.00%,18.31%,-,-1.30M,-71.03%,30.83%,-77.00%,-,1.60M
CPSS,1.07,4.22,-,0.21,10.44,3.01,-,35.50%,2.60%,-27.30%,21.10%,-,78.70M,0.95%,43.39%,24.20%,0.00%,325.60M
SHY,-,-,-,-,-,-,2.15%,-,-,-,-,-,-,-2.06%,0.16%,-,-,-
TGAA,,,,,,,,,,,,,,,,,,
QTEC,-,-,-,-,-,-,0.19%,-,-,-,-,-,-,7.75%,32.84%,-,-,-
ALKT,4.17,-,143.88,-,0.26,-0.68,-,-18.80%,-13.70%,-23.50%,3.60%,0.10,-62.20M,6.39%,1.58%,-28.30%,-,219.50M
MARX,0.78,402.69,-,-,0.00,0.03,-,-,-,-,17.74%,-,0.10M,-,3.15%,-,-,-
CZNC,1.28,12.74,13.15,-,0.15,1.67,5.26%,10.30%,24.30%,-7.90%,3.00%,1.62,25.70M,-12.78%,-6.82%,26.50%,67.00%,97.00M
BLLD,,,,,,,,,,,,,,,,,,
SND,0.28,44.57,14.18,-,0.11,0.04,-,0.70%,0.00%,38.00%,7.30%,0.11,1.60M,-54.12%,-12.85%,0.50%,0.00%,296.50M
RGEN,4.95,58.70,58.01,13.68,0.15,2.94,-,9.00%,8.70%,-37.20%,0.60%,2.98,167.80M,4.49%,2.07%,21.60%,0.00%,777.80M
CREC,1.55,33.48,-,-,0.00,0.35,-,4.70%,-,-89.50%,-,-,9.30M,-,13.99%,-,0.00%,-
VSTM,5.69,-,-,-,1.24,-4.29,-,-147.20%,-101.00%,14.00%,1.10%,-3.80,-72.60M,-23.50%,131.88%,-,-,0.00M
SGML,22.32,-,9.59,-,0.00,-0.64,-,-31.90%,-,-4.40%,0.72%,4.28,-62.40M,136.41%,45.52%,-,-,-
GGAAU,,,,,,,,,,,,,,,,,,
CFFE,53.90,-,-,-,4.79,-0.29,-,-4.10%,-,-253.70%,6.49%,-,-2.60M,8.23%,3.55%,-,0.00%,-
CTXR,2.06,-,3.20,-,0.00,-0.21,-,-30.70%,-,-39.00%,8.40%,0.40,-31.00M,36.46%,62.03%,-,-,-
CTRM,0.10,0.45,-,-,0.28,0.97,-,25.50%,20.90%,-135.30%,-,-,92.10M,-42.40%,-0.23%,47.20%,0.00%,231.90M
TRUP,3.17,-,-,-,0.35,-1.48,-,-19.90%,-11.50%,-176.30%,1.40%,-0.76,-60.60M,-66.44%,-52.24%,-6.30%,-,955.50M
PNBK,0.56,5.72,-,-,0.55,1.34,-,9.20%,33.20%,-106.60%,39.25%,-,5.30M,-52.63%,-27.64%,10.80%,0.00%,49.30M
ELTK,2.65,14.15,9.33,-,0.09,0.70,-,19.50%,9.40%,146.80%,25.30%,1.07,4.10M,142.20%,142.54%,10.00%,-,41.40M
HRMY,4.91,11.79,10.73,-,0.43,3.09,-,52.80%,33.10%,35.80%,18.88%,3.40,189.50M,-18.35%,-33.87%,40.20%,0.00%,471.70M
ALT,1.22,-,-,-,0.00,-1.76,-,-,-,9.40%,0.60%,-2.26,-85.40M,-21.90%,-75.08%,-,-,-0.08M
MURF,,,,,,,,,,,,,,,,,,
GECCM,,,,,,,,,,,,,,,,,,
NTIC,1.61,35.62,11.22,1.78,0.11,0.32,2.50%,4.70%,10.40%,381.00%,4.30%,1.00,3.00M,-3.53%,-15.70%,3.90%,85.60%,77.40M
EVER,2.57,-,-,-,0.00,-0.66,-,-19.60%,-23.10%,58.90%,4.00%,-0.52,-21.20M,0.46%,-40.98%,-5.30%,-,402.70M
SIDU,1.00,-,-,-,0.50,-0.72,-,-214.30%,-219.00%,16.10%,3.48%,-0.13,-14.00M,-87.42%,-82.58%,-,-,7.80M
LPCN,0.73,-,-,-,0.00,-2.16,-,-30.70%,-33.30%,-10.70%,1.70%,-1.71,-11.10M,-68.77%,-34.05%,-,-,0.60M
ON,5.98,21.78,16.50,3.47,0.55,4.10,-,31.00%,20.80%,-12.80%,0.10%,5.41,1.83B,35.19%,43.08%,22.00%,0.00%,8.34B
IBOT,,,,,,,,,,,,,,,,,,
REPL,2.72,-,-,-,0.10,-3.00,-,-35.80%,-,-23.70%,0.50%,-3.86,-174.30M,43.53%,-15.99%,-,-,-
REE,0.64,-,-,-,0.00,-0.37,-,-51.70%,-,44.10%,21.32%,-0.35,-107.40M,-74.99%,-3.50%,-,-,-
GECCN,,,,,,,,,,,,,,,,,,
UCYB,-,-,-,-,-,-,-,-,-,-,-,-,-,-14.57%,18.09%,-,-,-
ZYME,1.25,3.45,-,0.31,0.00,2.58,-,50.50%,24.30%,69.20%,0.10%,-1.33,172.60M,29.22%,13.10%,38.70%,0.00%,446.10M
SELF,1.14,19.96,-,-,0.36,0.25,5.77%,5.70%,5.80%,239.20%,2.00%,-,2.80M,-21.28%,3.07%,22.80%,111.90%,12.20M
DHCNI,,,,,,,,,,,,,,,,,,
ZBZZT,,,,,,,,,,,,,,,,,,
IGMS,1.98,-,-,-,0.00,-5.17,-,-74.30%,-79.30%,13.10%,1.00%,-5.14,-228.50M,-35.58%,-37.62%,-,-,1.60M
FBRX,0.64,-,-,-,0.00,-0.94,-,-47.30%,-,-84.80%,18.56%,-,-18.10M,-15.49%,-0.28%,-,-,-
PFMT,2.79,-,-,-,0.14,-0.12,-,-10.90%,-6.80%,-133.50%,1.00%,-0.05,-9.10M,13.26%,-17.17%,-8.40%,-,107.80M
HTGM,3.71,-,-,-,13.80,-18.08,-,-637.50%,-157.90%,76.50%,10.90%,-,-20.20M,-87.11%,-80.45%,-,-,6.20M
VMCA,,,,,,,,,,,,,,,,,,
GENY,-,-,-,-,-,-,2.15%,-,-,-,-,-,-,-3.67%,8.59%,-,-,-
FTXO,-,-,-,-,-,-,3.54%,-,-,-,-,-,-,-24.80%,-15.15%,-,-,-
OCFC,0.61,6.75,6.95,0.67,0.12,2.46,4.82%,9.30%,18.20%,8.60%,0.10%,2.39,144.70M,-17.22%,-21.93%,30.20%,31.20%,479.20M
IMAQ,8.30,-,-,-,0.15,-0.12,-,-1.20%,-,-247.50%,75.61%,-,-1.40M,7.06%,4.12%,-,-,-
FCA,-,-,-,-,-,-,6.19%,-,-,-,-,-,-,-21.27%,-3.08%,-,-,-
JAZZ,2.45,-,6.72,-,1.72,-2.64,-,-5.10%,1.10%,4114.90%,2.90%,19.11,-156.30M,-13.89%,-19.33%,-4.20%,-,3.74B
GAN,2.33,-,-,-,1.16,-4.50,-,-208.90%,-400.90%,129.90%,4.50%,-0.32,-191.50M,-61.56%,-11.33%,-,-,139.20M
AADR,-,-,-,-,-,-,4.09%,-,-,-,-,-,-,-14.56%,1.46%,-,-,-
ATEX,4.05,-,-,-,0.00,-2.29,-,-25.00%,-20.30%,39.00%,2.10%,-2.29,-42.90M,-24.48%,5.75%,-,-,1.60M
USIG,-,-,-,-,-,-,3.56%,-,-,-,-,-,-,-4.55%,0.73%,-,-,-
LGVCU,,,,,,,,,,,,,,,,,,
GEVO,0.64,-,-,-,0.11,-0.43,-,-16.10%,-15.30%,4.30%,2.90%,-0.28,-100.00M,-47.37%,-15.79%,-,-,5.00M
VIRX,1.29,-,-,-,0.54,-1.34,-,-86.50%,-,-13.00%,2.20%,-1.02,-50.90M,-31.39%,4.79%,-,-,-
CHI,1.05,-,-,-,-,-4.20,10.61%,-,-,-,6.64%,-,-,-7.73%,2.19%,-,-,22.79M
WCLD,-,-,-,-,-,-,-,-,-,-,-,-,-,0.68%,23.48%,-,-,-
DLHC,1.48,14.65,10.35,0.94,1.92,0.75,-,11.20%,22.70%,-88.90%,12.30%,1.06,10.70M,-35.77%,-7.54%,3.50%,0.00%,305.80M
USEA,-,0.54,-,-,0.00,5.27,10.53%,-,37.20%,-,18.01%,-,35.10M,-,-12.26%,-,0.00%,22.80M
ACLX,6.47,-,-,-,0.17,-4.29,-,-71.10%,-,19.80%,15.44%,-3.25,-190.00M,165.86%,35.51%,-,-,17.90M
BCAB,1.13,-,-,-,0.00,-2.67,-,-68.10%,-,11.20%,4.40%,-2.43,-109.70M,38.43%,-55.03%,-,-,-
ESAC,,,,,,,,,,,,,,,,,,
LSXMK,1.08,9.01,9.20,0.24,-,3.29,-,-,-,-36.50%,10.66%,3.22,-,-27.50%,-24.28%,-,-,8.96B
