P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
2.17,-,-,-,0.06,-0.03,-,-0.60%,-,-169.40%,-
1.66,-,-,-,0.15,-70.76,-,-,-,-,1.75%
1.69,-,-,-,0.21,-0.33,-,-69.40%,-56.70%,-54.20%,0.50%
-,-,-,-,-,-,1.89%,-,-,-,-
1.36,-,-,-,2.72,-0.26,-,-75.60%,-24.40%,74.40%,0.20%
,,,,,,,,,,
3.57,-,-,-,0.00,-0.56,-,-133.90%,-,-155.70%,9.85%
0.37,-,-,-,0.13,-1.05,-,-23.00%,-24.30%,-93.20%,0.34%
,,,,,,,,,,
1.22,-,-,-,0.34,-0.18,-,-12.20%,-8.50%,185.00%,21.70%
,,,,,,,,,,
10.11,17.54,24.40,1753.98,0.60,35.92,1.10%,64.70%,42.50%,-17.60%,0.20%
0.71,6.62,5.04,-,0.26,1.78,19.05%,10.50%,11.60%,-5.70%,16.50%
0.58,-,-,-,0.00,-13.92,-,-160.50%,-72.50%,-30.60%,0.52%
0.80,-,6.34,-,-,-2.63,14.56%,-,-,-98.60%,2.24%
1.40,-,-,-,0.00,-2.50,-,-69.20%,-,5.20%,14.99%
,,,,,,,,,,
,,,,,,,,,,
-,283.98,36.21,-,-,0.22,5.96%,-2.00%,11.10%,435.50%,0.80%
1.17,-,-,-,0.00,-0.67,-,-37.10%,-48.70%,101.20%,43.85%
1.65,13.68,7.03,-,1.35,2.06,4.71%,12.30%,9.20%,-82.50%,2.30%
-,-,-,-,-,-,2.27%,-,-,-,-
1.70,531.67,-,-,0.17,0.01,-,0.40%,-1.70%,766.50%,41.63%
5.66,-,-,-,0.20,-0.58,-,-18.40%,-18.90%,39.30%,1.00%
-,-,-,-,-,-,2.92%,-,-,-,-
0.61,6.26,7.20,-,0.00,1.79,2.50%,10.00%,40.50%,29.60%,2.10%
,,,,,,,,,,
2.66,-,-,-,0.00,-0.22,-,-35.60%,-35.40%,-12.00%,18.70%
2.33,-,-,-,0.00,-2.19,-,-51.10%,-,-13.20%,1.20%
0.27,-,-,-,0.43,-1.17,-,-41.10%,-47.60%,56.60%,0.50%
0.96,-,-,-,0.00,-1.71,-,-55.40%,-146.30%,112.40%,1.20%
-,-,-,-,-,-,1.21%,-,-,-,-
1.25,-,35.66,-,0.36,-0.72,-,-,-4.70%,-114.40%,0.59%
2.95,17.81,17.73,1.78,0.00,2.89,2.65%,15.80%,17.50%,1.10%,2.05%
-,-,-,-,-,-,2.47%,-,-,-,-
,,,,,,,,,,
1.41,-,-,-,0.00,-0.74,-,-94.60%,-115.60%,-3.00%,1.80%
0.46,-,-,-,0.08,-44.30,-,-119.70%,-221.60%,70.70%,0.30%
1.33,-,-,-,0.15,-1.33,-,-18.70%,-14.70%,-29.50%,0.80%
375.76,19.80,18.56,1.24,76.12,8.54,1.23%,309.10%,25.50%,113.10%,0.90%
0.48,61.18,-,-,0.84,0.02,-,1.20%,0.30%,-93.70%,43.21%
-,-,-,-,-,-,4.14%,-,-,-,-
-,-,-,-,-,-1.57,-,112.60%,-9.00%,-57.10%,0.10%
3.34,-,-,-,0.18,-1.35,-,-89.70%,-70.30%,32.80%,4.42%
88.57,24.79,15.47,0.97,11.29,101.99,-,139.60%,27.70%,140.90%,0.20%
6.54,27.03,21.98,3.01,0.01,3.80,0.43%,27.00%,28.30%,-45.50%,0.30%
,,,,,,,,,,
1.06,7.16,-,1.43,0.00,0.72,6.23%,15.30%,21.60%,-44.70%,3.90%
13.20,43.88,33.83,4.39,0.79,4.37,1.73%,30.80%,21.10%,-14.70%,1.10%
,,,,,,,,,,
0.50,-,-,-,31.95,-3.56,-,-153.60%,-8.30%,-675.70%,0.20%
13.33,32.82,28.84,1.28,0.00,1.50,-,48.40%,57.90%,10.60%,0.10%
2.46,33.60,15.81,3.36,0.73,3.31,0.50%,7.50%,6.20%,-7.90%,0.60%
5.51,-,-,-,0.63,-1.31,-,-176.80%,-,77.10%,0.90%
0.47,-,-,-,0.60,-0.56,-,-23.60%,-31.80%,60.10%,1.90%
0.74,-,-,-,0.38,-3.01,-,-68.20%,-51.80%,-38.20%,6.91%
1.74,-,-,-,0.31,-0.53,-,-,-13.40%,-108.40%,59.14%
0.62,6.73,6.31,1.35,0.13,1.15,5.69%,9.50%,19.80%,4.40%,1.42%
,,,,,,,,,,
-,39.66,-,-,-,0.26,-,-,-,-,-
,,,,,,,,,,
8.26,89.92,52.30,3.00,0.00,0.65,-,9.90%,11.10%,-71.90%,0.10%
-,-,-,-,-,-,1.73%,-,-,-,-
-,-,-,-,-,-,1.04%,-,-,-,-
0.03,72.82,-,-,2.77,0.10,-,-,2.80%,-,-
0.94,-,-,-,0.02,-0.22,-,-16.90%,-18.60%,87.10%,-
12.49,82.01,31.06,4.10,0.00,2.10,-,17.80%,15.00%,64.80%,26.20%
2.50,-,-,-,0.00,-12.95,-,-71.90%,-76.30%,6.30%,0.50%
,,,,,,,,,,
0.67,-,-,-,0.00,-1.34,-,-44.50%,-38.00%,6.80%,2.30%
,,,,,,,,,,
,,,,,,,,,,
6.30,-,-,-,0.40,-0.58,-,-39.90%,-35.90%,40.20%,1.10%
0.68,-,-,-,0.30,-9.54,-,-105.40%,-95.40%,64.60%,5.40%
3.29,-,23.70,-,0.27,-0.09,-,-2.40%,-1.40%,-32.70%,0.50%
3.55,17.59,14.74,2.02,1.60,3.53,3.93%,-,8.50%,14.00%,0.35%
0.39,-,13.52,-,0.04,-1.94,7.29%,-14.40%,-13.00%,-160.70%,40.65%
9.26,-,-,-,0.00,-1.60,-,-54.20%,-45.20%,38.20%,2.40%
,,,,,,,,,,
0.21,-,-,-,0.00,-0.04,-,-33.90%,33.60%,-,68.13%
4.24,-,-,-,0.00,-3.15,-,-52.60%,-53.10%,-17.60%,0.30%
2.89,44.33,27.14,-,0.00,0.21,-,6.50%,8.70%,-60.90%,1.80%
-,-,8.63,-,-,0.00,-,-0.10%,-128.90%,81.50%,2.00%
,,,,,,,,,,
-,-,-,-,-,-,1.95%,-,-,-,-
5.19,-,43.74,-,0.00,-0.21,-,-16.90%,-20.10%,21.20%,2.60%
63.19,-,-,-,12.94,-2.66,-,-463.80%,-74.20%,16.10%,1.14%
0.53,-,-,-,0.02,-0.13,-,-24.70%,-26.80%,44.40%,24.90%
3.75,-,10.80,-,0.00,-0.79,-,-5.30%,-,55.10%,1.20%
0.54,-,-,-,0.00,-0.35,-,-,-13.30%,-,53.56%
,,,,,,,,,,
1.28,2.96,3.89,-,-,8.64,-,-,-,1376.90%,0.46%
6.94,-,-,-,0.00,-3.65,-,-91.80%,-87.90%,31.60%,0.70%
-,-,-,-,-,-,-,-,-,-,-
0.53,5.69,9.17,1.02,0.35,2.08,7.44%,9.50%,23.00%,-70.80%,0.70%
-,-,-,-,-,-3.12,-,-672.60%,-87.20%,69.40%,0.20%
0.66,7.04,7.90,-,0.00,2.10,4.06%,9.50%,25.80%,2.50%,4.80%
2.31,-,27.60,-,-,-0.55,-,-,-,-,9.67%
4.29,38.42,32.28,1.50,0.00,1.50,-,17.60%,17.10%,-4.90%,0.30%
0.19,-,-,-,0.13,-0.49,-,-101.30%,-191.60%,28.10%,0.30%
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-18.90%,-
-,-,-,-,-,-,2.61%,-,-,-,-
4.28,-,-,-,0.00,-0.47,-,-73.80%,-,-35.80%,7.80%
-,-,-,-,-,-,0.61%,-,-,-,-
0.20,-,-,-,0.01,-39.40,-,-129.30%,-179.90%,98.90%,4.44%
1.47,32.58,8.20,3.15,0.59,0.74,-,4.60%,5.70%,-61.30%,2.70%
1.59,-,-,-,0.00,-0.82,-,-91.10%,-,4.70%,2.90%
1.77,9.84,-,-,1.22,0.24,-,24.80%,8.80%,21.00%,78.80%
1.06,-,-,-,0.24,-0.62,-,-16.30%,-12.20%,23.00%,-
2.39,-,-,-,0.05,-0.24,-,-44.70%,-40.10%,93.60%,6.72%
5.18,21.90,13.34,0.54,0.13,3.09,-,32.10%,19.30%,39.50%,-
,,,,,,,,,,
-,-,-,-,-,-3.31,-,-,-36.50%,-98.30%,4.80%
1.43,-,-,-,0.00,-3.58,-,-53.50%,-,17.90%,1.20%
-,-,-,-,0.00,-0.00,-,-,-,-,57.56%
0.58,3.76,-,-,0.20,3.55,5.99%,16.60%,27.40%,-24.10%,2.40%
-,13.69,-,-,-,0.75,-,-,-,-,-
,,,,,,,,,,
0.01,-,-,-,0.00,-18.26,-,-108.10%,-,63.50%,-
,,,,,,,,,,
0.02,0.69,-,-,0.06,3.41,-,2.70%,1.10%,101.20%,3.76%
0.75,-,12.10,-,0.07,-0.50,2.90%,-1.70%,2.30%,-97.60%,0.90%
-,11.60,5.63,-,-,0.61,-,-,-20.70%,-50.10%,1.30%
26.88,-,-,-,0.00,-0.82,-,-240.40%,-83.70%,-36.00%,13.40%
2.40,-,-,-,0.00,-1.20,-,-19.20%,-20.50%,14.40%,2.80%
3.81,19.92,14.81,1.66,0.00,2.88,1.50%,20.10%,17.50%,-41.90%,7.90%
2.35,-,-,-,0.64,-1.72,-,-77.50%,-44.90%,-23.00%,9.30%
1.92,-,-,-,0.00,-0.81,-,-42.60%,-,-70.00%,55.09%
0.42,-,1.01,-,0.00,-3.22,-,-150.80%,-104.70%,-157.30%,0.10%
1.01,7.51,7.72,1.07,0.11,6.01,4.25%,14.10%,30.50%,26.90%,0.10%
4.76,13.11,22.54,0.66,0.68,4.58,-,40.90%,22.80%,-13.20%,1.00%
,,,,,,,,,,
,,,,,,,,,,
1.05,6.24,-,-,0.00,1.65,-,17.60%,-,-97.40%,10.01%
0.36,1.94,2.14,-,0.59,7.37,-,19.70%,17.50%,-115.10%,50.78%
0.53,5.87,3.18,-,0.90,1.56,5.23%,9.40%,2.20%,-43.40%,0.28%
,,,,,,,,,,
,,,,,,,,,,
13.25,59.22,41.43,5.56,0.06,3.40,-,27.90%,26.10%,-23.90%,0.10%
4.33,-,-,-,0.00,-0.38,-,-66.50%,-49.20%,-97.10%,2.80%
15.47,-,-,-,0.00,-10.26,-,-167.20%,-185.60%,-6.30%,0.40%
0.63,-,-,-,0.00,-0.99,-,-,-99.00%,32.00%,7.20%
15.09,21.88,16.76,1.51,3.69,7.98,1.35%,78.10%,18.10%,-8.40%,0.10%
3.06,-,-,-,0.23,-1.67,-,-47.70%,-43.40%,27.90%,3.10%
0.41,-,-,-,0.00,-0.57,-,-28.70%,-39.70%,87.00%,12.28%
3.55,-,-,-,0.00,-4.31,-,-56.20%,-,15.00%,2.80%
0.70,-,-,-,10.07,-40.34,-,-,-143.00%,-7.40%,3.50%
-,-,-,-,-,-0.66,-,107.80%,145.90%,89.20%,10.51%
1.07,-,502.50,-,1.17,-0.31,-,-5.50%,4.90%,66.10%,1.30%
0.85,7.27,-,0.56,0.00,3.24,3.90%,12.20%,22.70%,26.80%,2.30%
0.19,-,-,-,1.20,-8.91,-,-22.60%,-,-256.70%,3.50%
0.76,-,-,-,0.00,-0.55,-,-68.00%,-77.90%,-186.30%,0.60%
2.55,7.32,-,-,0.39,1.53,-,45.60%,35.20%,-186.50%,0.20%
,,,,,,,,,,
8.97,21.93,18.30,2.42,1.03,8.00,1.46%,46.80%,22.20%,-1.80%,0.20%
0.96,22.69,9.20,1.51,0.01,0.31,-,4.60%,7.70%,-86.30%,3.30%
,,,,,,,,,,
0.30,-,-,-,0.00,-1.64,-,-46.90%,-62.70%,31.80%,1.01%
-,-,-,-,-,-,3.81%,-,-,-,-
-,-,-,-,-,-,7.65%,-,-,33.50%,-
2.64,-,-,-,0.00,-1.48,-,-70.70%,-85.50%,43.20%,0.10%
-,-,-,-,-,-1.45,-,-320.30%,-100.50%,-49.90%,14.90%
2.79,-,-,-,0.01,-1.78,-,-40.30%,-33.10%,-12.10%,0.50%
1.48,9.26,13.11,0.62,0.17,1.31,3.31%,16.50%,48.50%,-62.90%,1.90%
0.78,-,58.07,-,0.54,-3.86,0.84%,-11.90%,-7.30%,-137.40%,5.00%
,,,,,,,,,,
1.17,-,-,-,0.75,-0.04,-,-48.50%,-19.30%,106.90%,28.81%
0.47,-,-,-,4.47,-23.86,-,-,-111.30%,86.80%,2.06%
-,1.06,-,-,-,0.22,-,43.10%,40.50%,101.50%,0.10%
,,,,,,,,,,
,,,,,,,,,,
-,-,32.80,-,-,-0.58,-,425.90%,-87.30%,72.60%,5.50%
0.60,-,63.75,-,0.18,-0.20,-,-4.80%,-2.40%,-562.30%,16.28%
-,-,-,-,-,-,0.59%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
1.14,49.90,20.15,8.32,0.06,1.57,3.07%,2.30%,2.80%,-129.70%,0.20%
1.27,-,-,-,0.00,-0.16,-,-35.50%,-,81.60%,23.65%
1.20,-,16.14,-,0.44,-0.09,-,-9.00%,-8.90%,-60.90%,17.10%
0.53,-,-,-,0.54,-0.99,-,-19.50%,-2.60%,-283.40%,0.20%
1.96,48.66,28.87,-,0.00,0.09,-,4.30%,-7.50%,105.00%,7.51%
7.05,22.06,21.41,2.21,0.11,10.61,-,35.40%,14.00%,6.70%,12.80%
0.99,-,8.04,-,0.62,-0.42,-,-13.80%,-4.00%,51.60%,17.20%
6.45,20.76,11.85,1.50,0.99,3.70,1.99%,35.90%,18.80%,40.70%,2.09%
0.88,7.86,1.38,0.39,0.98,0.26,-,61.80%,-3.10%,94.50%,4.80%
,,,,,,,,,,
1.32,-,10.15,-,0.01,-0.99,-,-24.40%,-29.80%,44.90%,3.10%
0.70,-,-,-,0.96,-1.70,-,-282.10%,-,55.00%,4.66%
-,-,-,-,-,-,5.76%,-,-,-,-
7.45,1562.59,45.27,78.13,0.00,0.03,-,0.50%,-2.90%,108.30%,4.90%
0.32,-,-,-,0.00,-0.55,-,-,-40.00%,-257.00%,2.70%
0.20,-,-,-,0.03,-15.42,-,-36.00%,-51.30%,-,69.17%
-,-,-,-,-,-,-,-,-,-,0.28%
-,-,-,-,-,-,2.36%,-,-,-,-
1.02,-,-,-,0.00,-0.33,-,-21.90%,-26.70%,11.30%,0.30%
,,,,,,,,,,
0.51,10.83,-,-,0.00,0.09,-,4.80%,22.70%,66.60%,21.72%
,,,,,,,,,,
-,-,-,-,-,-,1.62%,-,-,-,-
6.93,49.78,34.54,4.70,0.20,1.67,0.38%,15.10%,13.20%,17.20%,0.80%
2.05,11.79,-,-,0.00,0.78,-,26.50%,19.30%,13.90%,7.50%
3.19,9.10,6.47,0.61,2.01,1.07,2.05%,-,17.70%,-52.60%,1.50%
,,,,,,,,,,
1.17,-,-,-,0.00,-2.26,-,-85.50%,-,24.50%,0.40%
5.98,52.01,34.04,5.59,0.00,6.33,-,11.90%,9.60%,42.30%,0.10%
1.67,77.40,11.19,5.02,0.68,0.41,-,2.30%,2.20%,-441.90%,0.04%
,,,,,,,,,,
-,-,-,-,-,-0.26,-,291.00%,-215.30%,51.20%,1.44%
2.80,21.16,12.96,2.96,0.38,3.50,-,13.50%,12.60%,-30.00%,0.20%
-,-,-,-,-,-,1.31%,-,-,-,-
-,-,-,-,-,-,2.33%,-,-,-,-
0.08,0.98,-,-,0.25,3.44,-,11.90%,8.50%,16258.50%,-
1.20,7.30,7.22,-,0.00,2.30,4.29%,17.10%,26.00%,-18.00%,27.49%
,,,,,,,,,,
1.24,-,-,-,0.00,-1.20,-,-39.70%,-45.00%,78.20%,1.00%
-,-,-,-,-,-,0.35%,-,-,-,-
85.08,-,42.54,-,25.96,-1.02,-,168.40%,3.80%,50.00%,11.70%
9.00,-,-,-,0.00,-2.41,-,-33.90%,-40.20%,40.50%,0.10%
,,,,,,,,,,
0.93,25.32,-,0.60,1.84,0.34,7.64%,-,4.50%,-306.40%,-
3.26,241.78,32.97,-,0.40,0.04,-,-1.00%,1.40%,101.70%,0.60%
11.78,-,-,-,0.00,-2.12,-,-224.00%,-173.60%,11.60%,1.23%
-,-,-,-,-,-,1.34%,-,-,-,-
-,-,-,-,-,-1.82,-,-368.70%,-,-89.40%,6.50%
-,100.74,81.99,6.46,-,2.00,0.38%,-15.10%,23.10%,80.30%,0.10%
1.28,-,-,-,1.42,-14.78,-,-,-60.20%,68.80%,1.10%
9.32,26.12,25.14,2.32,0.03,12.16,0.50%,37.50%,36.70%,-1.00%,12.69%
30.03,-,-,-,-,-3.47,9.32%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-0.11,-,1.40%,16.70%,-96.10%,1.60%
0.59,-,-,-,0.13,-0.34,7.58%,2.90%,7.20%,-,75.50%
1.47,18.91,15.76,1.26,0.00,0.35,-,-,8.60%,-202.50%,7.92%
-,-,-,-,-,-,0.76%,-,-,-,-
,,,,,,,,,,
13.32,-,-,-,0.00,-3.50,-,-23.00%,-22.10%,-25.80%,0.30%
-,-,-,-,-,-2.73,-,-204.70%,-51.40%,-17.70%,2.52%
3.32,-,-,-,0.00,-0.58,-,-240.00%,-,100.00%,7.90%
0.29,-,-,-,0.06,-69.30,-,-256.90%,1203.10%,98.00%,5.50%
1.51,13.09,-,-,0.00,1.73,1.23%,12.10%,11.50%,54.30%,26.36%
2.94,-,-,-,0.00,-0.88,-,-65.40%,-,5.10%,0.10%
,,,,,,,,,,
7.51,-,-,-,1.52,-0.21,-,-467.40%,-19.60%,157.60%,53.25%
,,,,,,,,,,
1.23,10.22,10.32,2.04,0.19,3.40,3.45%,12.40%,21.90%,-13.50%,0.40%
2.41,-,-,-,0.07,-12.33,-,-63.90%,-55.70%,-162.70%,0.10%
1.83,3.37,7.04,-,5.59,4.68,-,67.10%,13.90%,-34.30%,0.20%
0.75,5.07,5.32,0.51,0.16,5.20,2.66%,15.70%,28.10%,17.40%,2.70%
-,-,-,-,-,-49.21,-,-132.20%,1167.80%,96.50%,0.20%
1.41,9.76,10.20,0.74,1.50,4.24,1.79%,14.10%,9.60%,-45.80%,0.50%
1.29,-,10.66,-,0.00,-0.66,-,-10.30%,-10.50%,-61.00%,2.20%
3.31,33.26,24.76,3.05,0.32,6.18,0.97%,10.50%,9.50%,940.30%,45.70%
-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
1.62,48.56,17.85,4.41,0.62,0.88,-,3.40%,3.30%,178.30%,0.10%
0.43,-,-,-,0.00,-1.08,-,-15.30%,-16.00%,-68.20%,1.80%
,,,,,,,,,,
0.95,7.34,6.33,-,0.14,1.98,12.97%,13.10%,10.00%,35.40%,4.00%
-,-,-,-,-,-,2.38%,-,-,-,-
0.97,13.14,5.68,-,0.00,1.08,-,7.60%,6.60%,247.80%,6.06%
-,-,-,-,-,-,1.40%,-,-,-,-
0.67,-,-,-,0.10,-0.04,-,-2.40%,-1.80%,-38.10%,0.20%
,,,,,,,,,,
1.33,95.61,-,-,0.00,0.11,-,1.40%,-,-97.00%,5.80%
2.39,-,-,-,0.00,-1.98,-,-40.90%,-,-5.20%,0.40%
-,-,-,-,-,-,-,-,-,-,-
4.69,28.32,38.55,-,0.00,0.81,-,19.40%,19.50%,-30.60%,0.50%
1.30,33.38,-,-,0.44,0.14,-,3.80%,3.10%,-56.10%,70.24%
,,,,,,,,,,
1.19,-,-,-,0.00,-62.16,-,-,-111.60%,-,0.20%
1.97,-,-,-,0.00,-2.22,-,-49.60%,-,-12.50%,45.42%
2.81,-,-,-,0.07,-3.44,-,-38.00%,-36.00%,-80.50%,2.50%
,,,,,,,,,,
,,,,,,,,,,
1.86,-,-,-,0.00,-0.90,-,-118.70%,-193.60%,78.00%,0.20%
7.68,25.26,19.32,3.24,1.13,7.70,2.12%,30.40%,13.70%,26.30%,0.10%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,2.89%,-,-,-,-
0.41,-,6.25,-,0.89,-0.05,-,-6.40%,4.00%,45.30%,3.10%
,,,,,,,,,,
2.17,-,-,-,0.03,-0.17,-,-,-161.30%,-,33.83%
-,-,-,-,-,-,0.43%,-,-,-,-
7.28,-,-,-,0.00,-0.20,-,-,-436.60%,84.60%,3.40%
9.71,-,-,-,13.80,-18.08,-,-637.50%,-157.90%,76.50%,10.90%
,,,,,,,,,,
-,-,-,-,-,-,2.06%,-,-,-,-
,,,,,,,,,,
0.78,3.25,-,0.25,0.02,0.73,-,34.90%,27.00%,57.80%,0.10%
1.30,88.55,-,-,0.00,0.12,-,1.30%,-,505.30%,-
1.27,-,-,-,0.00,-0.68,-,-115.50%,-,-534.70%,28.51%
1.24,11.15,9.12,0.53,0.53,5.62,-,1.70%,-1.50%,129.70%,1.40%
1.11,82.59,5.90,2.50,1.38,0.09,0.57%,1.50%,6.00%,-105.60%,2.30%
2.77,-,6.77,-,5.26,-0.77,-,-26.00%,1.60%,-,5.68%
1.73,-,-,-,0.58,-6.56,-,-67.40%,-10.60%,-277.80%,0.90%
-,-,-,-,-,-,8.45%,-,-,-,-
2.15,-,-,-,0.44,-1.04,-,-67.10%,-39.90%,14.30%,3.90%
-,-,-,-,-,-,4.05%,-,-,-,-
0.41,-,5.66,-,0.32,-1.51,-,-14.50%,-1.80%,24.30%,-
1.53,14.67,12.64,1.83,0.00,3.09,0.71%,10.80%,11.50%,-34.90%,9.80%
,,,,,,,,,,
,,,,,,,,,,
2.16,-,-,-,0.00,-2.47,-,-47.90%,-56.50%,19.50%,5.59%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,1.05%,-,-,-,-
-,-,-,-,-,-,4.75%,-,-,-,-
-,-,-,-,-,-0.64,-,-,-167.20%,13.80%,12.50%
2.07,-,-,-,0.05,-0.86,-,-,-,-,63.55%
5.65,187.50,-,-,0.02,0.06,-,1.30%,-,196.60%,11.91%
0.27,3.54,1.75,1.50,1.11,0.60,-,12.50%,0.70%,316.90%,4.58%
0.42,-,23.51,-,0.03,-1.72,-,-319.30%,-49.20%,101.30%,33.68%
,,,,,,,,,,
,,,,,,,,,,
0.93,-,-,-,0.00,-9.06,-,-307.60%,-610.60%,72.70%,9.73%
-,-,-,-,-,-5.73,-,-537.10%,-88.40%,40.60%,24.17%
,,,,,,,,,,
0.25,-,-,-,0.01,-0.23,-,-20.40%,-19.20%,21.70%,0.40%
,,,,,,,,,,
,,,,,,,,,,
1.46,83.86,8.67,18.23,0.00,0.70,-,-,5.30%,-131.10%,0.90%
14.68,37.76,22.87,4.84,2.45,4.81,2.79%,36.70%,16.90%,-54.40%,0.10%
2.19,-,24.96,-,0.72,-1.15,-,-15.30%,-6.10%,-39.90%,0.90%
4.89,16.13,-,-,0.00,0.17,-,-,32.20%,22.00%,84.75%
,,,,,,,,,,
2.74,-,-,-,0.00,-6.72,-,-27.00%,-35.90%,71.00%,0.50%
0.29,-,74.67,-,0.00,-0.01,-,4.50%,-,-435.90%,25.98%
0.44,5.17,7.42,0.52,0.44,0.92,-,9.00%,0.60%,-,65.15%
-,-,-,-,-,-0.21,-,-,-,-,85.15%
35.92,66.93,-,-,0.00,0.16,-,2.70%,-,-74.80%,30.36%
3.53,-,-,-,0.00,-0.90,-,-225.00%,-,10.70%,21.33%
0.99,-,-,-,0.03,-0.08,-,-,-,-,51.83%
48.47,-,-,-,54.95,-2.69,-,-313.10%,-22.60%,35.50%,2.10%
9.84,-,-,-,4.91,-86.69,-,-,-71.30%,373.20%,0.52%
2.59,28.61,19.41,1.91,0.00,1.27,-,9.40%,8.20%,58.10%,0.10%
1.32,19.55,11.37,1.00,0.77,2.40,0.85%,6.90%,6.20%,44.60%,1.10%
0.96,4.17,7.02,0.83,0.00,14.24,3.70%,25.50%,42.50%,-17.60%,0.90%
0.90,7.31,5.85,1.04,0.20,3.91,3.50%,13.30%,32.30%,27.50%,6.90%
-,0.01,-,-,-,84.99,-,-,-,-,-
7.14,-,-,-,0.21,-0.77,-,-79.30%,-82.80%,45.30%,8.50%
0.94,-,-,-,0.00,-2.83,-,-72.20%,-80.70%,27.70%,4.70%
,,,,,,,,,,
0.50,-,13.70,-,0.07,-0.19,-,-6.20%,1.20%,-415.80%,16.60%
,,,,,,,,,,
1.36,182.28,-,-,0.00,0.06,-,1.50%,-,-,22.68%
1.46,-,-,-,0.00,-0.19,-,-,-6.70%,3.30%,5.00%
,,,,,,,,,,
1.10,-,-,-,0.01,-1.37,-,-41.20%,-45.70%,14.10%,0.20%
-,-,-,-,-,-,4.60%,-,-,-,-
1.66,-,-,-,0.00,-0.30,-,-,-10.80%,-163.50%,1.31%
0.69,-,-,-,0.00,-2.56,-,-6.00%,-,-,24.20%
-,-,-,-,-,-0.48,-,289.60%,-,11.40%,2.15%
74.18,422.23,37.01,8.53,5.37,0.13,-,-,7.30%,96.90%,0.10%
0.65,-,-,-,0.00,-2.49,-,-30.80%,-,20.00%,0.80%
0.58,-,-,-,0.00,-0.82,-,-40.40%,-68.40%,141.50%,0.20%
0.81,11.49,-,-,0.47,1.44,2.66%,7.90%,5.70%,-77.30%,4.00%
,,,,,,,,,,
1.41,-,-,-,1.88,-1.15,-,-237.70%,-153.70%,19.70%,30.42%
2.77,-,-,-,0.00,-5.39,-,-41.70%,-37.10%,40.20%,5.61%
0.77,-,-,-,-,-2.02,-,-,-,-,-
4.64,-,-,-,0.14,-0.82,-,-8.30%,-8.10%,57.90%,1.60%
3.79,-,-,-,0.00,-0.51,-,-47.10%,-69.60%,81.30%,45.18%
1.44,-,-,-,0.00,-1.12,-,-,-69.70%,51.80%,1.45%
4.90,-,-,-,0.00,-0.43,-,-,-74.10%,-65.80%,29.60%
2.80,-,-,-,0.00,-0.79,-,-35.70%,-20.80%,-172.70%,0.50%
1.12,2.13,-,-,0.00,0.86,-,111.50%,13.30%,-,29.27%
8.11,-,-,-,0.00,-10.95,-,-96.20%,-,64.70%,13.84%
,,,,,,,,,,
,,,,,,,,,,
0.87,-,-,-,0.00,-0.85,-,-214.90%,-151.10%,64.00%,14.50%
1.32,-,-,-,0.00,-2.16,-,-48.00%,-,29.60%,1.20%
-,30.53,-,-,-,0.09,-,-45.00%,-4.60%,-458.70%,-
1.87,18.55,10.38,2.65,0.86,2.06,-,10.00%,6.20%,-24.60%,0.20%
-,19.12,10.66,1.91,-,0.71,-,-37.50%,21.00%,-114.90%,7.59%
,,,,,,,,,,
-,-,-,-,-,-1.26,-,769.30%,508.70%,66.90%,0.20%
1.01,3.46,3.45,0.82,0.44,2.23,6.48%,32.60%,26.90%,-38.80%,4.40%
,,,,,,,,,,
-,-,-,-,-,-0.81,-,-,-,52.80%,23.54%
2.80,-,-,-,0.00,-0.65,-,-24.70%,-25.30%,-4.10%,30.96%
1.94,-,-,-,1.41,-0.61,-,-120.50%,-66.70%,-10.40%,2.70%
6.06,-,-,-,0.00,-5.28,-,-25.60%,-,11.50%,13.70%
,,,,,,,,,,
-,-,-,-,-,-,0.68%,-,-,-,-
-,-,-,-,-,-6.46,-,-566.20%,-,13.00%,78.27%
-,-,6.37,-,-,-0.51,-,579.80%,-30.60%,-288.10%,4.40%
0.69,13.17,14.09,2.63,0.00,4.74,3.20%,18.20%,23.70%,-21.90%,7.40%
17.62,43.62,56.00,12.79,0.18,6.33,-,55.20%,41.00%,166.90%,1.90%
1.00,3.95,-,0.20,10.44,3.01,-,35.50%,2.60%,-27.30%,21.10%
5.00,-,-,-,0.00,-0.72,-,-24.30%,-,-46.90%,3.30%
0.14,-,35.33,-,0.00,-1.42,-,-18.00%,-3.20%,2.80%,7.10%
,,,,,,,,,,
0.13,-,-,-,1.75,-74.21,-,-106.10%,-77.90%,-406.00%,8.12%
-,-,-,-,-,-,1.20%,-,-,-,-
0.39,-,-,-,0.00,-2.18,-,-47.80%,-,29.30%,2.50%
1.93,36.32,22.04,2.42,0.63,1.17,2.63%,5.30%,5.40%,-96.50%,3.10%
0.68,28.59,-,1.43,0.00,0.15,-,2.40%,2.30%,5.70%,4.50%
