P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
0.39,-,-,-,0.23,-3.93,-,-85.90%,-104.00%,62.80%,0.70%
12.07,-,-,-,0.00,-0.94,-,-48.50%,-,-19.80%,6.24%
1.27,-,-,-,0.00,-2.44,-,-50.20%,-,-20.90%,0.60%
0.03,-,-,-,0.01,-22.11,-,-153.90%,-99.20%,-55.90%,-
0.65,6.65,8.07,0.83,0.12,2.93,6.77%,9.90%,18.90%,-7.10%,0.10%
2.43,26.11,16.70,-,0.00,0.40,-,10.30%,9.60%,15.00%,55.48%
23.50,-,-,-,5.48,-1.34,-,-916.50%,-126.20%,52.10%,4.70%
,,,,,,,,,,
0.76,11.63,21.78,2.33,0.00,0.53,5.56%,6.50%,15.90%,-33.10%,0.50%
1.09,-,-,-,0.00,-0.95,-,-,-110.50%,-,23.83%
0.77,7.40,10.62,-,0.00,7.04,5.15%,-,23.20%,-16.00%,1.60%
1.17,-,-,-,1.02,-0.64,-,-15.50%,-9.20%,-61.20%,2.00%
4.35,73.08,-,-,0.01,0.14,-,2.90%,-,-166.80%,-
1.00,-,-,-,0.05,-6.10,-,11.00%,-85.90%,29.30%,64.13%
0.89,-,-,-,-,-0.03,6.98%,-,-,240.30%,47.80%
,,,,,,,,,,
0.59,-,-,-,-,-0.85,-,-,-,-,5.04%
3.62,-,84.77,-,0.00,-0.86,-,-33.10%,-33.00%,-13.40%,3.40%
,,,,,,,,,,
0.31,-,-,-,1.41,-2.73,-,-56.00%,-1.30%,-211.00%,11.00%
1.28,11.92,-,-,0.00,0.68,4.93%,11.20%,72.90%,87.50%,23.32%
0.37,-,-,-,0.14,-1.64,-,-,-,58.10%,-
0.72,-,-,-,0.00,-3.85,-,-190.10%,-,53.30%,0.60%
0.98,-,-,-,0.38,-4.36,-,-,-80.70%,78.60%,0.20%
0.46,-,-,-,0.38,-3.90,-,-170.50%,-,92.00%,8.29%
29.80,-,-,-,2.17,-0.98,-,-,-327.30%,-356.90%,91.30%
