,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
BIOL,0.34,-,0.65,-,1.70,-3.46,-,-244.90%,-136.10%,78.00%,0.90%
SIFY,0.02,33.66,19.71,-,1.27,0.04,-,4.60%,6.60%,-90.10%,27.10%
ONDS,0.73,-,-,-,0.48,-1.78,-,-99.70%,-78.50%,-24.10%,18.10%
OXLCL,,,,,,,,,,,
VMBS,-,-,-,-,-,-,2.76%,-,-,-,-
BMRC,0.62,5.90,8.34,0.59,0.00,2.85,5.94%,11.10%,26.90%,-10.10%,0.50%
BWACU,,,,,,,,,,,
APAC,7.74,46.78,-,-,0.08,0.23,-,4.20%,-,-135.20%,45.98%
PTHRU,-,-,-,-,-,-,-,-,-,-,-
TUSK,0.37,7.80,5.37,-,0.23,0.47,-,4.90%,-5.40%,155.00%,1.20%
BKIV,,,,,,,,,,,
GDSTU,,,,,,,,,,,
GENY,-,-,-,-,-,-,2.25%,-,-,-,-
NYMTM,,,,,,,,,,,
IMNN,0.39,-,-,-,0.23,-3.93,-,-85.90%,-104.00%,62.80%,0.70%
VKTX,12.07,-,-,-,0.00,-0.94,-,-48.50%,-,-19.80%,6.24%
ALLO,1.27,-,-,-,0.00,-2.44,-,-50.20%,-,-20.90%,0.60%
BNMV,0.03,-,-,-,0.01,-22.11,-,-153.90%,-99.20%,-55.90%,-
PPBI,0.65,6.65,8.07,0.83,0.12,2.93,6.77%,9.90%,18.90%,-7.10%,0.10%
CODA,2.43,26.11,16.70,-,0.00,0.40,-,10.30%,9.60%,15.00%,55.48%
BDSX,23.50,-,-,-,5.48,-1.34,-,-916.50%,-126.20%,52.10%,4.70%
FMIVU,,,,,,,,,,,
CFFN,0.76,11.63,21.78,2.33,0.00,0.53,5.56%,6.50%,15.90%,-33.10%,0.50%
KBNT,1.09,-,-,-,0.00,-0.95,-,-,-110.50%,-,23.83%
CATC,0.77,7.40,10.62,-,0.00,7.04,5.15%,-,23.20%,-16.00%,1.60%
LSAK,1.17,-,-,-,1.02,-0.64,-,-15.50%,-9.20%,-61.20%,2.00%
KRNL,4.35,73.08,-,-,0.01,0.14,-,2.90%,-,-166.80%,-
LMNL,1.00,-,-,-,0.05,-6.10,-,11.00%,-85.90%,29.30%,64.13%
FUND,0.89,-,-,-,-,-0.03,6.98%,-,-,240.30%,47.80%
ZVZZT,,,,,,,,,,,
