,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
VACC,0.39,-,-,-,0.00,-0.42,-,-6.30%,0.20%,-806.40%,0.30%
GOOG,6.08,26.86,19.97,1.53,-,4.64,-,-,-,-8.40%,0.01%
RCM,2.50,-,72.26,-,0.66,-0.14,-,0.70%,10.30%,-168.80%,0.80%
RADI,2.23,-,-,-,2.47,-1.54,-,-,-3.10%,-887.60%,0.26%
NCRA,,,,,,,,,,,
BOOM,0.85,14.06,6.90,0.70,0.33,1.18,-,6.20%,4.00%,97.50%,0.20%
DCTH,-,-,-,-,-,-3.91,-,552.10%,-,29.50%,1.50%
HBIO,3.18,-,14.71,-,0.59,-0.05,-,-2.70%,-6.10%,108.70%,6.20%
EGIO,0.37,-,-,-,0.41,-0.48,-,-36.80%,-18.40%,-142.80%,4.00%
TIPT,1.23,-,-,-,0.92,-0.24,1.48%,-,0.50%,-3.70%,37.60%
IVA,2.81,-,-,-,-,-1.33,-,-,-,-,-
OM,4.80,-,-,-,0.00,-3.51,-,-64.70%,-47.50%,-16.00%,1.10%
ABST,-,-,-,-,-,-0.68,-,474.80%,-1.20%,40.90%,0.10%
ATLX,15.24,-,-,-,0.00,-1.49,-,-275.10%,-,-377.40%,5.40%
ICHR,1.52,13.96,20.33,0.83,0.50,2.23,-,11.30%,9.40%,-100.10%,0.10%
QIWI,,,,,,,,,,,
OKTA,2.64,-,75.09,-,0.40,-5.17,-,-15.00%,-10.80%,38.70%,0.20%
IMMX,2.42,-,-,-,0.00,-0.67,-,-62.70%,-,-85.30%,13.60%
MTLS,2.26,353.33,68.14,-,0.32,0.03,-,0.60%,-1.20%,2676.90%,3.95%
KINS,0.41,-,-,-,0.76,-1.72,12.50%,-47.30%,-33.40%,45.70%,0.20%
VRTX,5.80,25.91,20.16,3.16,0.03,12.55,-,24.50%,23.60%,-9.00%,0.10%
DMAT,,,,,,,,,,,
IRIX,2.18,-,-,-,0.00,-0.45,-,-41.00%,-44.20%,13.20%,1.50%
OXUS,-,-,-,-,-,-0.01,-,-,-,-,4.00%
WIZ,-,-,-,-,-,-,4.42%,-,-,-,-
TSLI,,,,,,,,,,,
VALU,5.40,24.92,-,-,0.00,1.88,2.39%,22.20%,7.90%,-5.70%,91.50%
SRRK,2.02,-,-,-,0.00,-2.59,-,-59.70%,-43.40%,-133.10%,0.20%
TENB,15.43,-,50.82,-,1.25,-0.83,-,-35.00%,-11.80%,1.40%,0.40%
APMI,,,,,,,,,,,
SMID,2.64,87.53,-,-,0.19,0.19,-,3.00%,1.80%,166.50%,4.70%
ENZL,-,-,-,-,-,-,1.63%,-,-,-,-
FIACU,,,,,,,,,,,
FGMC,,,,,,,,,,,
NN,3.10,-,-,-,0.00,-0.45,-,-48.50%,-65.50%,-59.60%,5.30%
XTLB,2.00,-,-,-,0.00,-0.25,-,-,-,-,1.00%
SHY,-,-,-,-,-,-,1.98%,-,-,-,-
TGTX,127.45,-,-,-,0.00,-1.23,-,-213.70%,-148.70%,45.50%,1.10%
NMTC,3.56,-,-,-,0.00,-0.58,-,-110.70%,-104.50%,-13.60%,17.59%
UPBD,2.51,27.39,8.80,0.90,1.98,1.11,4.46%,11.10%,5.20%,-,0.30%
THRM,2.72,90.49,15.86,3.62,0.34,0.62,-,3.20%,3.80%,-32.20%,0.60%
ATHX,-,-,-,-,-,-4.68,-,279.40%,-,81.20%,4.40%
ANGO,0.94,-,941.00,-,0.13,-0.95,-,-9.10%,-5.60%,-89.30%,3.10%
KC,0.91,-,-,-,0.17,-1.59,-,-29.90%,-21.40%,-12.90%,-
BREZ,10.00,-,-,-,0.00,-0.08,-,3.20%,-,-178.10%,83.22%
MTAC,13.52,358.97,-,-,0.00,0.03,-,1.80%,-,-160.20%,-
HCKT,8.23,15.52,11.55,1.03,0.91,1.25,2.28%,34.80%,34.70%,-9.30%,7.50%
AVDX,2.87,-,-,-,0.22,-0.46,-,-13.80%,-10.90%,37.30%,4.60%
ROCAU,,,,,,,,,,,
PCTTU,,,,,,,,,,,
AGNCO,,,,,,,,,,,
WERN,1.95,13.01,13.20,9.53,0.47,3.48,1.24%,15.80%,11.40%,-32.20%,7.47%
MKUL,0.82,-,-,-,0.57,-0.62,-,-43.80%,-31.30%,-85.10%,32.36%
WEYS,1.13,7.91,-,-,0.09,3.43,3.68%,15.20%,11.80%,85.70%,2.40%
AGNC,0.87,-,4.14,-,7.87,-1.56,15.53%,-13.00%,-,75.80%,0.60%
HNVR,,,,,,,,,,,
PRDS,0.68,-,-,-,0.00,-1.58,-,-48.30%,-,20.70%,0.40%
NERV,-,-,-,-,-,-5.49,-,169.30%,-,28.60%,3.42%
CNDT,0.74,-,17.94,-,1.42,-1.54,-,-31.20%,-4.40%,-106.10%,2.80%
TACT,1.93,47.50,36.10,2.37,0.06,0.15,-,4.50%,-15.80%,171.20%,0.20%
DUOL,10.79,-,-,-,0.00,-1.26,-,-9.20%,-12.20%,79.80%,1.40%
HSTM,2.08,59.09,51.61,4.92,0.00,0.39,0.44%,3.60%,2.70%,-8.40%,17.90%
UCRD,,,,,,,,,,,
GMDA,-,-,-,-,-,-1.18,-,-,-,19.70%,0.70%
MEDX,,,,,,,,,,,
HUBCZ,,,,,,,,,,,
IZEA,0.70,-,-,-,0.00,-0.08,-,-6.80%,-8.00%,-12.60%,1.40%
MPRA,,,,,,,,,,,
PRFZ,-,-,-,-,-,-,1.36%,-,-,-,-
FAMI,0.07,5.12,-,-,0.03,0.09,-,1.70%,0.70%,-92.30%,1.59%
FMET,,,,,,,,,,,
EXTR,24.61,45.26,13.19,2.26,2.27,0.43,-,59.70%,14.30%,73.10%,1.30%
EXPE,8.08,49.47,8.18,1.66,0.00,1.96,-,15.90%,11.10%,-21.90%,0.20%
FCCO,1.04,8.88,9.77,-,0.12,1.92,3.29%,12.30%,33.20%,-1.40%,2.50%
APXI,2.85,43.08,-,-,0.01,0.25,-,3.60%,-,-98.10%,-
INTE,1.36,520.50,-,-,0.00,0.02,-,0.30%,-,135.30%,-
KTCC,0.44,11.33,-,-,0.99,0.47,-,4.00%,3.60%,99.80%,6.60%
GAINN,,,,,,,,,,,
LPTX,3.68,-,-,-,0.00,-0.76,-,-143.10%,-,-175.50%,8.28%
BASE,5.92,-,-,-,0.00,-1.53,-,-42.20%,-46.80%,-23.60%,1.60%
KNTE,0.77,-,-,-,0.00,-2.75,-,-50.50%,-,-18.30%,0.40%
NOVVU,,,,,,,,,,,
PRN,-,-,-,-,-,-,0.93%,-,-,-,-
ICLN,-,-,-,-,-,-,0.95%,-,-,-,-
JACK,-,12.25,12.77,1.39,-,7.05,2.04%,-20.40%,18.50%,246.50%,1.40%
NEXT,14.26,-,-,-,0.00,-0.73,-,-196.70%,-,-63.50%,1.50%
TQQQ,-,-,-,-,-,-,0.70%,-,-,-,-
UGRO,0.42,-,-,-,0.11,-1.43,-,-28.70%,-38.90%,-517.00%,0.40%
GOGO,-,22.29,22.36,3.54,-,0.68,-,-77.90%,21.60%,-7.50%,0.10%
ERESU,,,,,,,,,,,
CVT,2.60,-,33.69,-,0.09,-0.21,-,-6.40%,-5.00%,-2.30%,0.10%
BCEL,0.68,-,-,-,0.00,-2.40,-,-106.40%,-,17.90%,0.60%
OTTR,2.48,11.50,21.56,1.28,0.70,6.55,2.33%,23.00%,15.50%,-13.40%,1.99%
ALGT,1.37,26.39,8.58,-,1.66,3.71,-,5.30%,2.70%,824.40%,1.40%
OXSQZ,,,,,,,,,,,
CENT,1.40,17.58,13.79,1.76,0.88,2.09,-,8.40%,8.50%,-29.50%,13.70%
TSRI,0.89,9.20,-,-,0.00,0.71,-,10.40%,48.70%,255.00%,1.40%
BSJT,,,,,,,,,,,
AMRS,-,-,-,-,-,-1.83,-,132.60%,-140.00%,-54.20%,0.70%
KRKR,0.84,12.53,9.52,-,0.03,0.08,-,6.30%,-1.00%,-240.10%,16.16%
RACY,,,,,,,,,,,
BHFAN,0.20,1.33,-,-,-,12.61,8.00%,-,-,-,-
ICG,0.53,10.08,-,-,0.00,0.84,-,-,33.30%,-93.60%,-
ZXZZT,,,,,,,,,,,
ADIL,5.52,-,-,-,0.00,-0.50,-,-281.50%,-,12.60%,4.10%
HITI,0.58,-,-,-,0.43,-0.99,-,-,-30.70%,59.20%,9.24%
PKBK,0.70,4.54,-,0.17,0.16,3.52,4.51%,16.40%,18.60%,10.50%,5.80%
QLYS,17.00,42.62,26.18,5.33,0.00,2.88,-,34.10%,36.30%,21.60%,1.00%
BTOG,3.68,63000.00,-,-,0.00,0.00,-,27.00%,-15.20%,100.50%,18.40%
PIE,-,-,-,-,-,-,3.62%,-,-,-,-
LRFC,0.58,-,20.25,-,0.00,-4.43,4.35%,-,-,-,6.56%
WMG,49.53,29.67,21.63,2.66,15.82,0.82,2.64%,202.90%,13.60%,-63.80%,0.30%
GRTX,-,-,-,-,-,-2.22,-,66.60%,-,12.80%,0.40%
FUSB,,,,,,,,,,,
PYPT,,,,,,,,,,,
FRLA,,,,,,,,,,,
VRPX,0.60,-,-,-,0.00,-1.54,-,-92.30%,-,70.40%,25.71%
VOD,0.83,2.09,-,0.10,1.36,4.63,14.84%,-,3.30%,893.80%,0.20%
CSWI,4.23,25.18,20.85,2.10,0.00,5.71,0.53%,-,-,46.70%,1.20%
EQRR,-,-,-,-,-,-,2.90%,-,-,-,-
TTNP,-,-,-,-,-,-0.65,-,-363.90%,-731.10%,52.90%,25.32%
ZAZZT,,,,,,,,,,,
GDNRU,,,,,,,,,,,
RPTX,1.76,-,-,-,0.00,-0.79,-,-11.00%,-12.50%,-0.10%,0.10%
SMTC,1.88,23.34,12.49,2.03,1.77,0.95,-,8.00%,3.20%,-249.80%,0.10%
PFX,0.59,-,10.66,-,-,-0.71,-,-,-,125.70%,17.06%
FTAI,147.95,21.12,13.83,-,116.35,1.33,4.27%,-124.30%,-8.60%,204.80%,0.20%
COPJ,,,,,,,,,,,
PETQ,1.65,-,12.33,-,2.04,-1.44,-,-18.30%,-3.20%,202.00%,0.30%
CTXR,1.77,-,1.51,-,0.00,-0.21,-,-30.70%,-,-39.00%,8.40%
EH,35.87,-,-,-,1.00,-0.81,-,-159.30%,-122.00%,-7.90%,0.90%
OCAX,,,,,,,,,,,
CELC,1.87,-,-,-,0.29,-2.63,-,-50.20%,-,-3.50%,20.20%
COLL,4.16,-,7.43,-,4.44,-0.86,-,-15.30%,4.10%,-30.80%,1.80%
VMEO,1.73,-,-,-,0.00,-0.33,-,-15.30%,-24.00%,97.40%,0.10%
SFIX,1.73,-,-,-,0.00,-2.68,-,-93.80%,-63.70%,-103.30%,4.60%
UIVM,-,-,-,-,-,-,3.61%,-,-,-,-
TRINL,,,,,,,,,,,
JOAN,-,-,-,-,-,-4.93,28.21%,-500.20%,-14.30%,-789.20%,0.60%
EBTC,1.06,7.67,-,-,0.19,3.55,3.38%,15.00%,38.80%,4.00%,10.90%
INBKZ,,,,,,,,,,,
NUVA,2.20,141.19,14.35,8.26,1.02,0.26,-,2.40%,4.30%,-106.30%,0.27%
LGST,,,,,,,,,,,
FRLAU,,,,,,,,,,,
ALTY,-,-,-,-,-,-,7.98%,-,-,-,-
EKSO,0.83,-,-,-,0.29,-1.13,-,-55.50%,-49.40%,9.10%,13.30%
APOG,2.08,8.10,9.64,0.54,0.43,4.66,2.55%,28.60%,20.00%,234.80%,1.20%
HQI,5.61,27.03,19.11,-,0.28,0.87,1.02%,23.40%,18.90%,13.60%,45.70%
ARDS,-,-,0.71,-,-,-1.93,-,-,126.60%,-,31.53%
BELFB,2.27,9.91,9.74,-,-,4.98,0.57%,-,-,187.80%,2.77%
AMTB,0.85,9.27,7.03,-,0.21,2.00,1.94%,9.50%,27.40%,36.10%,0.10%
ILMN,4.59,-,62.10,-,0.33,-28.58,-,-58.90%,-45.50%,-96.50%,0.10%
CREX,0.74,-,4.13,-,0.69,-0.24,-,-6.30%,-9.30%,-126.50%,5.30%
PCCT,,,,,,,,,,,
HCDI,0.46,-,-,-,25.63,-43.46,-,-167.80%,-7.90%,-,25.45%
FGI,0.76,6.52,4.01,-,0.37,0.28,-,12.80%,13.00%,-165.90%,73.68%
BCML,0.66,7.73,7.12,0.77,0.23,2.10,2.46%,8.70%,21.10%,8.20%,3.50%
DBVT,1.94,-,-,-,0.00,-0.62,-,-,-49.70%,-,0.20%
CSBR,9.52,-,49.50,-,0.00,-0.23,-,-36.30%,6.30%,-428.90%,16.80%
RELI,0.55,-,8.78,-,1.17,-6.59,-,-26.10%,-89.70%,25.40%,3.70%
LIVB,,,,,,,,,,,
MFH,-,-,-,-,0.00,0.00,-,-134.40%,-145.40%,0.00%,68.95%
VTSI,2.35,19.97,16.31,0.57,0.22,0.40,-,12.70%,4.80%,407.40%,4.90%
EGHT,4.69,-,6.90,-,4.92,-0.63,-,-71.70%,-8.50%,78.80%,2.80%
GMBLZ,,,,,,,,,,,
MNTV,4.95,-,19.73,-,0.65,-0.51,-,-27.60%,-17.60%,35.90%,1.90%
SPRB,0.71,-,-,-,0.04,-1.86,-,-54.90%,-,19.90%,0.10%
TATT,0.72,-,-,-,0.36,-0.18,-,-2.10%,-1.80%,177.30%,53.70%
MARX,0.77,395.38,-,-,0.00,0.03,-,-,-,-,17.74%
DWSH,-,-,-,-,-,-,-,-,-,-,-
ADV,0.59,-,3.82,-,1.87,-4.53,-,-79.90%,-40.90%,-349.00%,0.20%
CRDL,0.94,-,-,-,0.00,-0.46,-,-53.00%,-,23.50%,4.42%
TRON,,,,,,,,,,,
NCMI,-,-,-,-,-,-0.36,41.10%,9.00%,1.70%,-0.60%,1.50%
GLSI,11.99,-,-,-,0.00,-0.61,-,-,-,-,23.20%
CRMT,1.14,28.41,12.36,1.79,1.25,3.11,-,12.80%,11.60%,-91.90%,0.30%
PCSA,1.25,-,-,-,0.00,-1.66,-,-205.50%,-,13.40%,9.70%
WGMI,-,-,-,-,-,-,-,-,-,-,-
INFN,6.13,-,11.27,-,3.59,-0.20,-,-28.60%,-7.70%,80.80%,0.60%
SKYW,0.67,47.10,9.05,4.41,1.48,0.64,-,1.40%,2.80%,-227.80%,0.10%
TLGY,2.10,46.74,-,-,0.00,0.23,-,3.30%,-,-87.90%,-
OSS,1.18,-,10.40,-,0.07,-0.16,-,-7.10%,-6.00%,-167.50%,3.50%
JAN,-,-,-,-,-,-1.28,-,-,-,732.80%,13.86%
IBTX,0.60,13.20,8.27,1.32,0.17,2.60,4.42%,4.50%,18.60%,-176.80%,1.60%
OLB,0.31,-,-,-,0.02,-0.63,-,-26.00%,-23.20%,-59.00%,12.30%
BLACU,-,-,-,-,-,-,-,-,-,-,17.42%
SKYT,8.00,-,42.64,-,1.77,-0.66,-,-59.10%,-20.20%,76.60%,16.60%
LEGR,-,-,-,-,-,-,2.56%,-,-,-,-
ACIU,1.04,-,-,-,0.02,-0.92,-,-38.80%,-41.30%,7.00%,53.88%
INAB,4.24,-,-,-,0.08,-1.34,-,-125.00%,-,6.90%,10.90%
WRND,,,,,,,,,,,
ON,5.62,20.49,15.53,3.27,0.55,4.10,-,31.00%,20.80%,-12.80%,0.10%
CDL,-,-,-,-,-,-,3.65%,-,-,-,-
APLM,0.54,-,-,-,0.00,-0.05,-,-0.70%,-,92.90%,80.33%
KPRX,0.39,-,-,-,0.00,-16.14,-,-116.40%,-,90.80%,2.30%
MDIV,-,-,-,-,-,-,7.19%,-,-,-,-
CHEAU,,,,,,,,,,,
PAA,1.18,8.86,9.61,4.43,1.01,1.51,7.98%,13.60%,8.90%,166.10%,0.20%
NXST,2.14,7.22,5.24,-,2.64,21.13,3.54%,29.80%,11.30%,-50.50%,0.30%
AEAEU,,,,,,,,,,,
QQEW,-,-,-,-,-,-,0.58%,-,-,-,-
SOFO,-,-,-,-,-,-1.05,-,-575.60%,-145.40%,-90.90%,49.90%
ACGL,1.99,13.71,10.38,0.76,0.21,5.19,-,16.40%,8.90%,286.50%,0.90%
APVO,0.49,0.49,-,-,0.00,3.31,-,92.40%,-,116.30%,1.12%
NBIX,5.19,147.72,19.59,6.21,0.10,0.61,-,4.00%,6.40%,-653.90%,0.30%
GTX,-,10.84,6.27,1.28,-,0.74,-,-36.30%,33.80%,-11.70%,0.10%
SNGX,-,-,-,-,-,-3.65,-,-,-176.80%,76.40%,0.36%
PRGS,6.28,26.97,12.84,13.48,1.96,2.23,1.17%,25.30%,10.80%,16.70%,1.40%
DXLG,1.77,3.07,5.99,0.20,0.00,1.33,-,-,65.10%,-48.00%,8.10%
PRPL,1.68,-,452.50,-,0.00,-1.08,-,-46.40%,-124.80%,-17.60%,0.20%
QQQS,,,,,,,,,,,
OAKU,-,-,-,-,-,-0.01,-,-,-,-,-
KRUS,8.83,-,272.85,-,0.00,-0.07,-,-0.80%,-0.90%,46.50%,45.96%
JEPQ,-,-,-,-,-,-,12.28%,-,-,-,-
HROWL,,,,,,,,,,,
SOHOB,,,,,,,,,,,
ISRL,-,206.60,-,-,-,0.05,-,-,-,-,4.21%
HOOK,0.91,-,-,-,0.03,-1.18,-,-61.80%,-69.90%,22.70%,7.95%
NOTV,0.60,-,-,-,1.37,-13.48,-,-90.30%,-34.80%,-61.80%,0.50%
HROW,26.61,-,22.07,-,0.00,-0.65,-,-129.60%,1.40%,-144.90%,0.30%
EQIX,5.68,83.18,69.12,4.51,1.30,8.83,1.86%,7.20%,4.10%,71.40%,0.10%
USIG,-,-,-,-,-,-,3.45%,-,-,-,-
FMIV,,,,,,,,,,,
TERN,2.56,-,-,-,0.00,-1.58,-,-30.80%,-,43.40%,2.10%
NICE,4.03,45.96,20.69,3.83,0.23,4.28,-,9.50%,6.90%,33.20%,-
WTMAU,,,,,,,,,,,
JJSF,3.42,63.32,28.75,-,0.11,2.41,1.84%,5.40%,5.10%,109.10%,18.80%
POLA,0.96,-,-,-,0.19,-0.44,-,-29.30%,-,1.90%,43.60%
USEG,0.45,-,-,-,0.15,-0.04,6.38%,-1.20%,6.00%,77.20%,25.50%
PFC,0.55,5.38,6.10,0.60,0.09,2.64,8.73%,-,21.00%,-30.50%,0.20%
CLWT,0.89,32.92,-,-,0.01,0.05,-,2.70%,0.70%,376.50%,58.40%
REKR,1.55,-,-,-,0.20,-1.59,-,-130.00%,-156.00%,19.30%,1.70%
ESGE,-,-,-,-,-,-,2.62%,-,-,-,-
CGNT,1.71,-,-,-,0.00,-1.68,-,-50.40%,-56.90%,-113.20%,2.36%
PTLO,3.43,84.60,44.96,9.30,1.06,0.24,-,4.30%,6.90%,-313.20%,0.80%
PEGA,25.57,-,22.82,-,3.64,-4.47,0.25%,-302.40%,-48.40%,-,39.50%
GCMG,,,,,,,,,,,
FRAF,,,,,,,,,,,
IDBA,3.40,-,-,-,-,-2.03,-,-,-,-,2.97%
EGBN,0.51,5.42,7.67,0.74,0.06,3.75,8.85%,9.70%,21.80%,-45.40%,0.10%
BFST,0.70,6.05,6.75,-,0.81,2.43,3.27%,12.10%,27.90%,31.40%,3.70%
CRECU,,,,,,,,,,,
BTEC,-,-,-,-,-,-,-,-,-,-,-
QQQA,,,,,,,,,,,
IHRT,0.75,-,2.82,-,11.66,-2.96,-,-67.30%,1.40%,-354.90%,1.90%
PETZ,0.55,-,-,-,0.43,-1.67,-,-92.00%,-24.20%,45.60%,39.54%
CEG,2.56,-,15.51,-,0.62,-0.52,1.35%,-1.60%,5.30%,-9.70%,0.10%
ESOA,0.80,10.76,5.44,-,0.82,0.17,-,7.70%,6.10%,-86.40%,23.70%
DJCO,1.93,-,-,-,0.40,-19.90,-,-13.60%,11.30%,134.00%,12.90%
ZIONO,,,,,,,,,,,
LVOX,2.79,-,40.59,-,0.59,-0.36,-,-33.40%,-22.40%,35.70%,3.40%
FORL,875.00,-,-,-,-,-0.00,-,-,-,-,-
MATW,2.40,-,12.83,-,1.52,-2.12,2.33%,-12.40%,-5.50%,587.00%,2.40%
ENERU,,,,,,,,,,,
NPABU,,,,,,,,,,,
SIEN,-,-,-,-,-,-8.57,-,-,-132.90%,63.40%,0.90%
SND,0.27,42.57,13.55,-,0.11,0.04,-,0.70%,0.00%,38.00%,7.30%
NIU,1.61,-,8.51,-,0.20,-0.15,-,-6.20%,-4.70%,-102.40%,-
GRCL,1.01,-,-,-,0.12,-1.27,-,-39.30%,-,-1.50%,23.41%
EWZS,-,-,-,-,-,-,4.02%,-,-,-,-
GO,2.48,42.63,24.91,3.91,0.29,0.67,-,6.10%,5.60%,17.20%,0.60%
FWAC,,,,,,,,,,,
SAI,1.98,5.42,-,-,0.00,0.32,-,-,-,-,57.96%
ARBG,,,,,,,,,,,
DUNEU,,,,,,,,,,,
ATNF,0.60,-,-,-,0.11,-20.26,-,-206.30%,-,-238.40%,0.70%
BBLG,0.96,-,-,-,0.00,-0.33,-,-96.30%,-,-245.60%,40.14%
CERS,6.18,-,-,-,1.24,-0.26,-,-67.00%,-25.20%,-24.40%,0.30%
FORLU,,,,,,,,,,,
SUNW,0.78,-,-,-,0.06,-0.87,-,-,-42.90%,-,1.00%
TLSA,2.83,-,-,-,0.00,-0.17,-,-,-,-75.90%,43.01%
HRMY,4.73,11.35,10.33,-,0.43,3.09,-,52.80%,33.10%,35.80%,18.88%
LIBYU,,,,,,,,,,,
EDUC,0.20,-,-,-,1.01,-0.30,36.70%,-5.40%,-1.80%,-696.70%,10.70%
MARXU,41.84,-,-,-,-,-,-,-,-,-,0.42%
AOGO,0.31,197.20,-,-,0.00,0.05,-,0.20%,-,-,16.16%
NAUT,1.23,-,-,-,0.00,-0.46,-,-17.80%,-,5.20%,8.20%
DENN,-,12.62,16.10,4.78,-,0.89,-,-115.30%,15.20%,-97.00%,1.10%
IRAAU,,,,,,,,,,,
LGVN,3.86,-,-,-,0.00,-0.95,-,-88.00%,-88.00%,-31.60%,14.54%
EVER,2.77,-,-,-,0.00,-0.66,-,-19.60%,-23.10%,58.90%,4.00%
GMGI,2.39,-,20.00,-,0.00,-0.04,-,-3.80%,-0.80%,-236.20%,39.80%
CCSO,-,-,-,-,-,-,0.23%,-,-,-,-
IOVA,2.84,-,-,-,0.00,-2.40,-,-81.00%,-,13.80%,0.10%
FCUV,16.10,-,-,-,0.00,-0.06,-,-48.20%,-64.70%,42.90%,59.23%
YNDX,,,,,,,,,,,
WAFU,0.86,8.45,-,-,0.00,0.26,-,10.50%,7.20%,127.30%,72.07%
TRS,1.66,19.12,11.44,2.05,0.61,1.35,0.62%,8.90%,7.40%,-64.30%,0.80%
BLEUU,,,,,,,,,,,
MACAU,,,,,,,,,,,
BRQS,-,-,-,-,-,-0.97,-,392.00%,94.30%,90.40%,15.90%
SHIP,0.34,4.47,7.66,-,1.09,0.95,2.35%,7.40%,6.70%,-98.80%,59.60%
TRUP,2.97,-,-,-,0.35,-1.48,-,-19.90%,-11.50%,-176.30%,1.40%
CPIX,0.63,-,-,-,0.44,-0.28,-,-10.60%,-11.00%,114.00%,2.10%
JANX,1.49,-,-,-,0.00,-1.61,-,-20.50%,-20.90%,-28.80%,1.44%
ABNB,12.84,35.72,26.68,1.90,0.38,3.00,-,37.50%,22.60%,708.50%,3.20%
WBD,0.59,-,21.20,-,1.05,-3.75,-,-18.40%,-5.90%,-164.10%,0.60%
ACRV,1.71,-,-,-,0.00,-1.70,-,-,-,-14.10%,17.60%
BSFC,9.75,-,2.15,-,10.80,-0.52,-,-,-220.20%,-,58.70%
KRMD,5.55,-,-,-,0.02,-0.19,-,-27.00%,-27.20%,6.70%,0.60%
PSNL,0.44,-,-,-,0.01,-2.46,-,-49.50%,-52.40%,2.20%,2.40%
HEAR,2.22,-,128.64,-,0.00,-3.61,-,-59.40%,-52.40%,-1.10%,0.40%
FOXF,3.26,19.13,14.69,1.28,0.00,4.69,-,18.30%,16.50%,-13.30%,0.30%
AQB,0.19,-,-,-,0.05,-0.33,-,-12.10%,-11.10%,-26.60%,1.24%
LUNG,3.01,-,-,-,0.26,-1.58,-,-37.20%,-34.40%,1.80%,4.20%
CMPX,2.02,-,-,-,0.00,-0.36,-,-26.60%,-,12.70%,5.10%
UFIV,,,,,,,,,,,
CIFR,1.76,-,-,-,0.04,-0.11,-,-8.10%,-11.00%,62.30%,1.40%
ACDC,5.38,4.99,3.84,-,10.41,2.38,-,-13.60%,-148.90%,12.20%,2.00%
NEON,4.61,-,-,-,0.00,-0.35,-,-22.70%,-27.70%,7.80%,33.95%
CERE,11.79,-,-,-,0.78,-2.52,-,-77.10%,-,-44.30%,17.56%
OVBC,0.84,8.53,-,-,0.08,2.80,3.69%,10.00%,28.90%,52.70%,3.20%
ENCP,2.47,356.67,-,-,0.05,0.03,-,-,-,74.50%,-
ELOX,-,-,-,-,-,-14.16,-,407.30%,-,46.40%,0.68%
SNOA,0.53,-,-,-,0.00,-2.19,-,-92.90%,-50.90%,-103.60%,0.26%
NBSTU,,,,,,,,,,,
INTR,0.71,-,1.69,-,0.03,-0.00,-,-0.20%,13.90%,121.00%,28.51%
AIRT,3.52,70.86,-,-,6.63,0.37,-,4.70%,9.90%,52.50%,2.70%
CHRW,8.38,15.72,20.76,20.55,1.41,6.21,2.50%,48.60%,30.30%,-53.20%,0.30%
PRAA,0.63,41.28,13.13,1.15,2.63,0.45,-,1.60%,6.50%,-255.20%,0.50%
PTPI,0.37,-,-,-,0.59,-10.26,-,-97.60%,-76.00%,-687.30%,42.73%
ZG,2.28,-,27.42,-,0.38,-0.56,-,-,-1.60%,-199.80%,3.49%
VERI,2.57,-,88.75,-,2.27,-0.72,-,-37.50%,-9.70%,-0.60%,1.90%
ZJYL,2.51,16.79,-,-,0.00,0.34,-,18.70%,13.80%,22.70%,89.48%
KRNY,0.53,11.57,12.61,2.89,0.53,0.61,6.23%,4.60%,15.70%,-37.20%,1.00%
ADMA,6.12,-,59.41,-,0.99,-0.24,-,-37.20%,-15.60%,76.00%,1.50%
MKTX,9.32,40.48,32.21,3.00,0.00,6.89,1.03%,24.50%,22.10%,14.20%,1.90%
BSJO,-,-,-,-,-,-,5.55%,-,-,-,-
KRNLU,,,,,,,,,,,
PRQR,2.27,-,-,-,0.36,-0.88,-,-86.10%,-75.70%,44.10%,19.20%
DAX,-,-,-,-,-,-,2.44%,-,-,-,-
ENTX,2.20,-,-,-,0.00,-0.40,-,-85.90%,-111.50%,42.10%,1.10%
INCR,-,7.76,1.56,-,-,0.25,-,-,-,-98.40%,35.80%
ETON,8.77,-,25.73,-,0.57,-0.25,-,-52.10%,-44.90%,50.50%,4.10%
IMAQU,,,,,,,,,,,
PUCK,2.72,-,-,-,0.02,-0.02,-,-0.30%,-,-612.10%,15.68%
STKL,2.30,-,40.41,-,0.99,-0.11,-,-3.40%,0.80%,158.70%,2.20%
VCTR,2.01,8.83,6.25,-,0.94,3.55,3.64%,24.00%,15.70%,-27.00%,6.90%
STER,1.68,98.22,9.79,6.55,0.68,0.14,-,1.90%,3.80%,-90.10%,0.30%
BSVN,1.38,6.50,6.56,-,0.00,3.58,2.75%,23.40%,38.40%,54.00%,4.60%
ELDN,0.33,-,-,-,0.00,-6.23,-,-79.10%,-,-9.50%,10.06%
UTWO,-,-,-,-,-,-,3.91%,-,-,-,-
CIRC,,,,,,,,,,,
ESMV,,,,,,,,,,,
EDBL,0.46,-,-,-,1.09,-38.91,-,-,-239.80%,81.60%,31.90%
FEM,-,-,-,-,-,-,6.44%,-,-,-,-
ATER,0.56,-,-,-,0.26,-2.67,-,-149.10%,-141.00%,56.70%,3.80%
MCAF,1.71,316.06,-,-,0.04,0.03,-,0.30%,-,240.20%,32.15%
VERB,0.02,-,-,-,0.83,-9.58,-,-,-,-,7.70%
FRES,0.41,-,-,-,0.54,-266.73,-,-,-,-,2.16%
OZON,,,,,,,,,,,
